Dex,MoveName,Method
318,"Waterfall","HM07"
318,"Dive","HM08"
351,"Flash","HM05"
251,"Cut","HM01"
251,"Flash","HM05"
113,"Strength","HM04"
113,"Flash","HM05"
113,"Rock Smash","HM06"
6,"Cut","HM01"
6,"Fly","HM02"
6,"Strength","HM04"
6,"Rock Smash","HM06"
4,"Cut","HM01"
4,"Strength","HM04"
4,"Rock Smash","HM06"
5,"Cut","HM01"
5,"Strength","HM04"
5,"Rock Smash","HM06"
152,"Cut","HM01"
152,"Flash","HM05"
358,"Flash","HM05"
170,"Surf","HM03"
170,"Flash","HM05"
170,"Waterfall","HM07"
170,"Dive","HM08"
366,"Surf","HM03"
366,"Waterfall","HM07"
366,"Dive","HM08"
344,"Strength","HM04"
344,"Flash","HM05"
344,"Rock Smash","HM06"
36,"Strength","HM04"
36,"Flash","HM05"
35,"Strength","HM04"
35,"Flash","HM05"
173,"Flash","HM05"
91,"Surf","HM03"
91,"Dive","HM08"
256,"Cut","HM01"
256,"Strength","HM04"
256,"Rock Smash","HM06"
341,"Cut","HM01"
341,"Surf","HM03"
341,"Strength","HM04"
341,"Rock Smash","HM06"
341,"Waterfall","HM07"
222,"Surf","HM03"
222,"Strength","HM04"
222,"Rock Smash","HM06"
346,"Strength","HM04"
346,"Rock Smash","HM06"
342,"Cut","HM01"
342,"Surf","HM03"
342,"Strength","HM04"
342,"Rock Smash","HM06"
342,"Waterfall","HM07"
342,"Dive","HM08"
169,"Fly","HM02"
159,"Cut","HM01"
159,"Surf","HM03"
159,"Strength","HM04"
159,"Rock Smash","HM06"
159,"Waterfall","HM07"
159,"Dive","HM08"
104,"Strength","HM04"
104,"Rock Smash","HM06"
155,"Cut","HM01"
301,"Strength","HM04"
301,"Flash","HM05"
301,"Rock Smash","HM06"
225,"Fly","HM02"
386,"Cut","HM01"
386,"Strength","HM04"
386,"Flash","HM05"
386,"Rock Smash","HM06"
87,"Surf","HM03"
87,"Waterfall","HM07"
87,"Dive","HM08"
50,"Cut","HM01"
50,"Rock Smash","HM06"
85,"Fly","HM02"
84,"Fly","HM02"
232,"Strength","HM04"
232,"Rock Smash","HM06"
148,"Surf","HM03"
148,"Waterfall","HM07"
149,"Cut","HM01"
149,"Fly","HM02"
149,"Surf","HM03"
149,"Strength","HM04"
149,"Rock Smash","HM06"
149,"Waterfall","HM07"
149,"Dive","HM08"
147,"Surf","HM03"
147,"Waterfall","HM07"
96,"Flash","HM05"
51,"Cut","HM01"
51,"Rock Smash","HM06"
206,"Strength","HM04"
206,"Rock Smash","HM06"
356,"Strength","HM04"
356,"Flash","HM05"
356,"Rock Smash","HM06"
355,"Flash","HM05"
269,"Flash","HM05"
23,"Strength","HM04"
125,"Strength","HM04"
125,"Flash","HM05"
125,"Rock Smash","HM06"
309,"Strength","HM04"
309,"Flash","HM05"
101,"Flash","HM05"
239,"Flash","HM05"
239,"Rock Smash","HM06"
244,"Cut","HM01"
244,"Strength","HM04"
244,"Flash","HM05"
244,"Rock Smash","HM06"
196,"Cut","HM01"
196,"Flash","HM05"
102,"Strength","HM04"
102,"Flash","HM05"
103,"Strength","HM04"
103,"Flash","HM05"
295,"Strength","HM04"
295,"Rock Smash","HM06"
83,"Cut","HM01"
83,"Fly","HM02"
22,"Fly","HM02"
349,"Surf","HM03"
349,"Waterfall","HM07"
349,"Dive","HM08"
160,"Cut","HM01"
160,"Surf","HM03"
160,"Strength","HM04"
160,"Rock Smash","HM06"
160,"Waterfall","HM07"
160,"Dive","HM08"
180,"Strength","HM04"
180,"Flash","HM05"
180,"Rock Smash","HM06"
330,"Fly","HM02"
330,"Strength","HM04"
330,"Rock Smash","HM06"
205,"Strength","HM04"
205,"Rock Smash","HM06"
162,"Cut","HM01"
162,"Surf","HM03"
162,"Strength","HM04"
162,"Rock Smash","HM06"
282,"Flash","HM05"
94,"Strength","HM04"
94,"Rock Smash","HM06"
74,"Strength","HM04"
74,"Rock Smash","HM06"
203,"Strength","HM04"
203,"Flash","HM05"
203,"Rock Smash","HM06"
362,"Flash","HM05"
207,"Cut","HM01"
207,"Strength","HM04"
207,"Rock Smash","HM06"
44,"Cut","HM01"
44,"Flash","HM05"
118,"Surf","HM03"
118,"Waterfall","HM07"
118,"Dive","HM08"
55,"Surf","HM03"
55,"Strength","HM04"
55,"Flash","HM05"
55,"Rock Smash","HM06"
55,"Waterfall","HM07"
55,"Dive","HM08"
76,"Strength","HM04"
76,"Rock Smash","HM06"
368,"Surf","HM03"
368,"Waterfall","HM07"
368,"Dive","HM08"
210,"Strength","HM04"
210,"Rock Smash","HM06"
75,"Strength","HM04"
75,"Rock Smash","HM06"
383,"Cut","HM01"
383,"Strength","HM04"
383,"Rock Smash","HM06"
253,"Cut","HM01"
253,"Strength","HM04"
253,"Flash","HM05"
253,"Rock Smash","HM06"
58,"Strength","HM04"
58,"Rock Smash","HM06"
326,"Flash","HM05"
316,"Strength","HM04"
316,"Rock Smash","HM06"
130,"Surf","HM03"
130,"Strength","HM04"
130,"Rock Smash","HM06"
130,"Waterfall","HM07"
130,"Dive","HM08"
297,"Surf","HM03"
297,"Strength","HM04"
297,"Rock Smash","HM06"
214,"Cut","HM01"
214,"Strength","HM04"
214,"Rock Smash","HM06"
107,"Strength","HM04"
107,"Rock Smash","HM06"
106,"Strength","HM04"
106,"Rock Smash","HM06"
237,"Strength","HM04"
237,"Rock Smash","HM06"
250,"Fly","HM02"
250,"Strength","HM04"
250,"Flash","HM05"
250,"Rock Smash","HM06"
163,"Fly","HM02"
163,"Flash","HM05"
187,"Flash","HM05"
116,"Surf","HM03"
116,"Waterfall","HM07"
116,"Dive","HM08"
229,"Strength","HM04"
229,"Rock Smash","HM06"
228,"Rock Smash","HM06"
367,"Surf","HM03"
367,"Waterfall","HM07"
367,"Dive","HM08"
97,"Flash","HM05"
174,"Flash","HM05"
314,"Flash","HM05"
2,"Cut","HM01"
2,"Strength","HM04"
2,"Flash","HM05"
2,"Rock Smash","HM06"
39,"Strength","HM04"
39,"Flash","HM05"
385,"Flash","HM05"
135,"Flash","HM05"
189,"Flash","HM05"
124,"Flash","HM05"
140,"Surf","HM03"
140,"Rock Smash","HM06"
140,"Waterfall","HM07"
141,"Cut","HM01"
141,"Surf","HM03"
141,"Rock Smash","HM06"
141,"Waterfall","HM07"
141,"Dive","HM08"
64,"Flash","HM05"
115,"Cut","HM01"
115,"Surf","HM03"
115,"Strength","HM04"
115,"Rock Smash","HM06"
352,"Cut","HM01"
352,"Strength","HM04"
352,"Flash","HM05"
352,"Rock Smash","HM06"
230,"Surf","HM03"
230,"Waterfall","HM07"
230,"Dive","HM08"
99,"Cut","HM01"
99,"Surf","HM03"
99,"Strength","HM04"
99,"Rock Smash","HM06"
99,"Dive","HM08"
281,"Flash","HM05"
109,"Flash","HM05"
98,"Cut","HM01"
98,"Surf","HM03"
98,"Strength","HM04"
98,"Rock Smash","HM06"
98,"Dive","HM08"
382,"Surf","HM03"
382,"Strength","HM04"
382,"Rock Smash","HM06"
382,"Waterfall","HM07"
382,"Dive","HM08"
305,"Cut","HM01"
305,"Strength","HM04"
305,"Rock Smash","HM06"
171,"Surf","HM03"
171,"Flash","HM05"
171,"Waterfall","HM07"
171,"Dive","HM08"
131,"Surf","HM03"
131,"Strength","HM04"
131,"Rock Smash","HM06"
131,"Waterfall","HM07"
131,"Dive","HM08"
246,"Rock Smash","HM06"
380,"Cut","HM01"
380,"Fly","HM02"
380,"Surf","HM03"
380,"Flash","HM05"
380,"Waterfall","HM07"
380,"Dive","HM08"
381,"Cut","HM01"
381,"Fly","HM02"
381,"Surf","HM03"
381,"Flash","HM05"
381,"Waterfall","HM07"
381,"Dive","HM08"
166,"Flash","HM05"
165,"Flash","HM05"
108,"Cut","HM01"
108,"Surf","HM03"
108,"Strength","HM04"
108,"Rock Smash","HM06"
264,"Cut","HM01"
264,"Surf","HM03"
264,"Strength","HM04"
264,"Rock Smash","HM06"
271,"Surf","HM03"
271,"Strength","HM04"
271,"Flash","HM05"
271,"Rock Smash","HM06"
271,"Waterfall","HM07"
271,"Dive","HM08"
270,"Surf","HM03"
270,"Flash","HM05"
294,"Strength","HM04"
294,"Rock Smash","HM06"
272,"Surf","HM03"
272,"Strength","HM04"
272,"Flash","HM05"
272,"Rock Smash","HM06"
272,"Waterfall","HM07"
272,"Dive","HM08"
249,"Fly","HM02"
249,"Surf","HM03"
249,"Strength","HM04"
249,"Rock Smash","HM06"
249,"Waterfall","HM07"
249,"Dive","HM08"
337,"Flash","HM05"
370,"Surf","HM03"
370,"Waterfall","HM07"
370,"Dive","HM08"
68,"Strength","HM04"
68,"Rock Smash","HM06"
67,"Strength","HM04"
67,"Rock Smash","HM06"
66,"Strength","HM04"
66,"Rock Smash","HM06"
240,"Rock Smash","HM06"
219,"Strength","HM04"
219,"Rock Smash","HM06"
126,"Strength","HM04"
126,"Rock Smash","HM06"
81,"Flash","HM05"
82,"Flash","HM05"
296,"Surf","HM03"
296,"Strength","HM04"
296,"Rock Smash","HM06"
310,"Strength","HM04"
310,"Flash","HM05"
56,"Strength","HM04"
56,"Rock Smash","HM06"
226,"Surf","HM03"
226,"Waterfall","HM07"
226,"Dive","HM08"
179,"Flash","HM05"
183,"Surf","HM03"
183,"Strength","HM04"
183,"Rock Smash","HM06"
183,"Waterfall","HM07"
183,"Dive","HM08"
105,"Strength","HM04"
105,"Rock Smash","HM06"
259,"Surf","HM03"
259,"Strength","HM04"
259,"Rock Smash","HM06"
259,"Waterfall","HM07"
259,"Dive","HM08"
284,"Flash","HM05"
303,"Strength","HM04"
303,"Rock Smash","HM06"
308,"Strength","HM04"
308,"Flash","HM05"
308,"Rock Smash","HM06"
307,"Strength","HM04"
307,"Flash","HM05"
307,"Rock Smash","HM06"
154,"Cut","HM01"
154,"Strength","HM04"
154,"Flash","HM05"
154,"Rock Smash","HM06"
52,"Cut","HM01"
52,"Flash","HM05"
376,"Cut","HM01"
376,"Strength","HM04"
376,"Flash","HM05"
376,"Rock Smash","HM06"
375,"Cut","HM01"
375,"Strength","HM04"
375,"Flash","HM05"
375,"Rock Smash","HM06"
151,"Cut","HM01"
151,"Fly","HM02"
151,"Surf","HM03"
151,"Strength","HM04"
151,"Flash","HM05"
151,"Rock Smash","HM06"
151,"Waterfall","HM07"
151,"Dive","HM08"
150,"Strength","HM04"
150,"Flash","HM05"
150,"Rock Smash","HM06"
262,"Strength","HM04"
262,"Rock Smash","HM06"
350,"Surf","HM03"
350,"Waterfall","HM07"
350,"Dive","HM08"
241,"Surf","HM03"
241,"Strength","HM04"
241,"Rock Smash","HM06"
312,"Flash","HM05"
200,"Flash","HM05"
146,"Fly","HM02"
146,"Rock Smash","HM06"
122,"Flash","HM05"
258,"Surf","HM03"
258,"Strength","HM04"
258,"Rock Smash","HM06"
258,"Waterfall","HM07"
258,"Dive","HM08"
89,"Strength","HM04"
89,"Rock Smash","HM06"
198,"Fly","HM02"
177,"Flash","HM05"
34,"Cut","HM01"
34,"Surf","HM03"
34,"Strength","HM04"
34,"Rock Smash","HM06"
31,"Cut","HM01"
31,"Surf","HM03"
31,"Strength","HM04"
31,"Rock Smash","HM06"
29,"Cut","HM01"
29,"Strength","HM04"
29,"Rock Smash","HM06"
32,"Cut","HM01"
32,"Strength","HM04"
32,"Rock Smash","HM06"
30,"Cut","HM01"
30,"Strength","HM04"
30,"Rock Smash","HM06"
33,"Cut","HM01"
33,"Strength","HM04"
33,"Rock Smash","HM06"
290,"Cut","HM01"
290,"Flash","HM05"
291,"Cut","HM01"
291,"Flash","HM05"
164,"Fly","HM02"
164,"Flash","HM05"
299,"Strength","HM04"
299,"Rock Smash","HM06"
322,"Strength","HM04"
322,"Rock Smash","HM06"
274,"Cut","HM01"
274,"Strength","HM04"
274,"Flash","HM05"
274,"Rock Smash","HM06"
224,"Surf","HM03"
224,"Waterfall","HM07"
224,"Dive","HM08"
43,"Cut","HM01"
43,"Flash","HM05"
138,"Surf","HM03"
138,"Rock Smash","HM06"
138,"Waterfall","HM07"
138,"Dive","HM08"
139,"Surf","HM03"
139,"Rock Smash","HM06"
139,"Waterfall","HM07"
139,"Dive","HM08"
95,"Strength","HM04"
95,"Rock Smash","HM06"
46,"Cut","HM01"
46,"Flash","HM05"
46,"Rock Smash","HM06"
47,"Cut","HM01"
47,"Flash","HM05"
47,"Rock Smash","HM06"
279,"Fly","HM02"
279,"Surf","HM03"
53,"Cut","HM01"
53,"Flash","HM05"
231,"Strength","HM04"
231,"Rock Smash","HM06"
172,"Flash","HM05"
18,"Fly","HM02"
17,"Fly","HM02"
16,"Fly","HM02"
25,"Strength","HM04"
25,"Flash","HM05"
25,"Rock Smash","HM06"
221,"Strength","HM04"
221,"Rock Smash","HM06"
204,"Strength","HM04"
204,"Rock Smash","HM06"
127,"Cut","HM01"
127,"Strength","HM04"
127,"Rock Smash","HM06"
311,"Flash","HM05"
186,"Surf","HM03"
186,"Strength","HM04"
186,"Rock Smash","HM06"
186,"Waterfall","HM07"
186,"Dive","HM08"
60,"Surf","HM03"
60,"Waterfall","HM07"
60,"Dive","HM08"
61,"Surf","HM03"
61,"Strength","HM04"
61,"Rock Smash","HM06"
61,"Waterfall","HM07"
61,"Dive","HM08"
62,"Surf","HM03"
62,"Strength","HM04"
62,"Rock Smash","HM06"
62,"Waterfall","HM07"
62,"Dive","HM08"
77,"Strength","HM04"
261,"Rock Smash","HM06"
137,"Flash","HM05"
233,"Flash","HM05"
57,"Strength","HM04"
57,"Rock Smash","HM06"
54,"Surf","HM03"
54,"Strength","HM04"
54,"Flash","HM05"
54,"Rock Smash","HM06"
54,"Waterfall","HM07"
54,"Dive","HM08"
247,"Rock Smash","HM06"
195,"Surf","HM03"
195,"Strength","HM04"
195,"Flash","HM05"
195,"Rock Smash","HM06"
195,"Waterfall","HM07"
195,"Dive","HM08"
156,"Cut","HM01"
156,"Strength","HM04"
156,"Rock Smash","HM06"
211,"Surf","HM03"
211,"Waterfall","HM07"
211,"Dive","HM08"
26,"Strength","HM04"
26,"Flash","HM05"
26,"Rock Smash","HM06"
243,"Cut","HM01"
243,"Strength","HM04"
243,"Flash","HM05"
243,"Rock Smash","HM06"
280,"Flash","HM05"
78,"Strength","HM04"
20,"Cut","HM01"
20,"Strength","HM04"
20,"Rock Smash","HM06"
19,"Cut","HM01"
19,"Rock Smash","HM06"
384,"Fly","HM02"
384,"Surf","HM03"
384,"Strength","HM04"
384,"Rock Smash","HM06"
384,"Waterfall","HM07"
384,"Dive","HM08"
378,"Strength","HM04"
378,"Rock Smash","HM06"
377,"Strength","HM04"
377,"Rock Smash","HM06"
379,"Strength","HM04"
379,"Rock Smash","HM06"
369,"Surf","HM03"
369,"Rock Smash","HM06"
369,"Waterfall","HM07"
369,"Dive","HM08"
223,"Surf","HM03"
223,"Waterfall","HM07"
223,"Dive","HM08"
112,"Cut","HM01"
112,"Surf","HM03"
112,"Strength","HM04"
112,"Rock Smash","HM06"
111,"Strength","HM04"
111,"Rock Smash","HM06"
315,"Cut","HM01"
315,"Flash","HM05"
302,"Cut","HM01"
302,"Flash","HM05"
302,"Rock Smash","HM06"
373,"Cut","HM01"
373,"Fly","HM02"
373,"Strength","HM04"
373,"Rock Smash","HM06"
27,"Cut","HM01"
27,"Strength","HM04"
27,"Rock Smash","HM06"
28,"Cut","HM01"
28,"Strength","HM04"
28,"Rock Smash","HM06"
254,"Cut","HM01"
254,"Strength","HM04"
254,"Flash","HM05"
254,"Rock Smash","HM06"
212,"Cut","HM01"
212,"Strength","HM04"
212,"Rock Smash","HM06"
123,"Cut","HM01"
123,"Rock Smash","HM06"
117,"Surf","HM03"
117,"Waterfall","HM07"
117,"Dive","HM08"
119,"Surf","HM03"
119,"Waterfall","HM07"
119,"Dive","HM08"
364,"Surf","HM03"
364,"Strength","HM04"
364,"Rock Smash","HM06"
364,"Waterfall","HM07"
364,"Dive","HM08"
273,"Flash","HM05"
273,"Rock Smash","HM06"
86,"Surf","HM03"
86,"Waterfall","HM07"
86,"Dive","HM08"
161,"Cut","HM01"
161,"Surf","HM03"
336,"Strength","HM04"
336,"Rock Smash","HM06"
319,"Surf","HM03"
319,"Strength","HM04"
319,"Rock Smash","HM06"
319,"Waterfall","HM07"
319,"Dive","HM08"
292,"Cut","HM01"
292,"Flash","HM05"
372,"Cut","HM01"
372,"Strength","HM04"
372,"Rock Smash","HM06"
90,"Surf","HM03"
90,"Dive","HM08"
275,"Cut","HM01"
275,"Strength","HM04"
275,"Flash","HM05"
275,"Rock Smash","HM06"
285,"Flash","HM05"
213,"Strength","HM04"
213,"Flash","HM05"
213,"Rock Smash","HM06"
353,"Flash","HM05"
227,"Cut","HM01"
227,"Fly","HM02"
227,"Rock Smash","HM06"
188,"Flash","HM05"
300,"Flash","HM05"
289,"Cut","HM01"
289,"Strength","HM04"
289,"Rock Smash","HM06"
287,"Cut","HM01"
287,"Strength","HM04"
287,"Rock Smash","HM06"
80,"Surf","HM03"
80,"Strength","HM04"
80,"Flash","HM05"
80,"Rock Smash","HM06"
80,"Dive","HM08"
199,"Surf","HM03"
199,"Strength","HM04"
199,"Flash","HM05"
199,"Rock Smash","HM06"
199,"Dive","HM08"
79,"Surf","HM03"
79,"Strength","HM04"
79,"Flash","HM05"
79,"Dive","HM08"
218,"Rock Smash","HM06"
238,"Flash","HM05"
215,"Cut","HM01"
215,"Surf","HM03"
215,"Strength","HM04"
215,"Rock Smash","HM06"
143,"Surf","HM03"
143,"Strength","HM04"
361,"Flash","HM05"
209,"Strength","HM04"
209,"Rock Smash","HM06"
338,"Flash","HM05"
21,"Fly","HM02"
363,"Surf","HM03"
363,"Strength","HM04"
363,"Rock Smash","HM06"
363,"Waterfall","HM07"
363,"Dive","HM08"
167,"Flash","HM05"
327,"Strength","HM04"
327,"Flash","HM05"
327,"Rock Smash","HM06"
325,"Flash","HM05"
7,"Surf","HM03"
7,"Strength","HM04"
7,"Rock Smash","HM06"
7,"Waterfall","HM07"
7,"Dive","HM08"
234,"Flash","HM05"
121,"Surf","HM03"
121,"Flash","HM05"
121,"Waterfall","HM07"
121,"Dive","HM08"
120,"Surf","HM03"
120,"Flash","HM05"
120,"Waterfall","HM07"
120,"Dive","HM08"
208,"Cut","HM01"
208,"Strength","HM04"
208,"Rock Smash","HM06"
185,"Strength","HM04"
185,"Rock Smash","HM06"
245,"Cut","HM01"
245,"Surf","HM03"
245,"Rock Smash","HM06"
245,"Waterfall","HM07"
245,"Dive","HM08"
192,"Cut","HM01"
192,"Flash","HM05"
191,"Cut","HM01"
191,"Flash","HM05"
283,"Flash","HM05"
333,"Fly","HM02"
317,"Strength","HM04"
317,"Rock Smash","HM06"
260,"Surf","HM03"
260,"Strength","HM04"
260,"Rock Smash","HM06"
260,"Waterfall","HM07"
260,"Dive","HM08"
277,"Fly","HM02"
220,"Strength","HM04"
220,"Rock Smash","HM06"
276,"Fly","HM02"
114,"Cut","HM01"
114,"Flash","HM05"
114,"Rock Smash","HM06"
128,"Surf","HM03"
128,"Strength","HM04"
128,"Rock Smash","HM06"
216,"Cut","HM01"
216,"Strength","HM04"
216,"Rock Smash","HM06"
72,"Cut","HM01"
72,"Surf","HM03"
72,"Waterfall","HM07"
72,"Dive","HM08"
73,"Cut","HM01"
73,"Surf","HM03"
73,"Waterfall","HM07"
73,"Dive","HM08"
175,"Flash","HM05"
175,"Rock Smash","HM06"
176,"Fly","HM02"
176,"Flash","HM05"
176,"Rock Smash","HM06"
255,"Cut","HM01"
255,"Strength","HM04"
255,"Rock Smash","HM06"
324,"Strength","HM04"
324,"Rock Smash","HM06"
158,"Cut","HM01"
158,"Surf","HM03"
158,"Waterfall","HM07"
158,"Dive","HM08"
328,"Strength","HM04"
328,"Rock Smash","HM06"
252,"Cut","HM01"
252,"Strength","HM04"
252,"Flash","HM05"
252,"Rock Smash","HM06"
357,"Cut","HM01"
357,"Fly","HM02"
357,"Strength","HM04"
357,"Flash","HM05"
357,"Rock Smash","HM06"
157,"Cut","HM01"
157,"Strength","HM04"
157,"Rock Smash","HM06"
248,"Cut","HM01"
248,"Surf","HM03"
248,"Strength","HM04"
248,"Rock Smash","HM06"
236,"Strength","HM04"
236,"Rock Smash","HM06"
197,"Cut","HM01"
197,"Flash","HM05"
217,"Cut","HM01"
217,"Strength","HM04"
217,"Rock Smash","HM06"
134,"Surf","HM03"
134,"Waterfall","HM07"
134,"Dive","HM08"
49,"Flash","HM05"
48,"Flash","HM05"
3,"Cut","HM01"
3,"Strength","HM04"
3,"Flash","HM05"
3,"Rock Smash","HM06"
329,"Fly","HM02"
329,"Strength","HM04"
329,"Rock Smash","HM06"
71,"Cut","HM01"
71,"Flash","HM05"
288,"Cut","HM01"
288,"Strength","HM04"
288,"Rock Smash","HM06"
45,"Cut","HM01"
45,"Flash","HM05"
313,"Flash","HM05"
100,"Flash","HM05"
320,"Surf","HM03"
320,"Strength","HM04"
320,"Rock Smash","HM06"
320,"Waterfall","HM07"
320,"Dive","HM08"
321,"Surf","HM03"
321,"Strength","HM04"
321,"Rock Smash","HM06"
321,"Waterfall","HM07"
321,"Dive","HM08"
365,"Surf","HM03"
365,"Strength","HM04"
365,"Rock Smash","HM06"
365,"Waterfall","HM07"
365,"Dive","HM08"
8,"Surf","HM03"
8,"Strength","HM04"
8,"Rock Smash","HM06"
8,"Waterfall","HM07"
8,"Dive","HM08"
70,"Cut","HM01"
70,"Flash","HM05"
110,"Flash","HM05"
340,"Surf","HM03"
340,"Strength","HM04"
340,"Rock Smash","HM06"
340,"Waterfall","HM07"
340,"Dive","HM08"
40,"Strength","HM04"
40,"Flash","HM05"
278,"Fly","HM02"
194,"Surf","HM03"
194,"Flash","HM05"
194,"Rock Smash","HM06"
194,"Waterfall","HM07"
194,"Dive","HM08"
178,"Fly","HM02"
178,"Flash","HM05"
193,"Flash","HM05"
335,"Strength","HM04"
335,"Rock Smash","HM06"
145,"Fly","HM02"
145,"Flash","HM05"
145,"Rock Smash","HM06"
263,"Cut","HM01"
263,"Surf","HM03"
263,"Rock Smash","HM06"
151,"Cut","HM01"
151,"Fly","HM02"
151,"Surf","HM03"
151,"Strength","HM04"
151,"Flash","HM05"
151,"Rock Smash","HM06"
151,"Waterfall","HM07"
151,"Dive","HM08"
63,"Teleport","Level 1"
359,"Scratch","Level 1"
359,"Leer","Level 5"
359,"Taunt","Level 9"
359,"Quick Attack","Level 13"
359,"Razor Wind","Level 17"
359,"Bite","Level 21"
359,"Swords Dance","Level 26"
359,"Double Team","Level 31"
359,"Slash","Level 36"
359,"Future Sight","Level 41"
359,"Perish Song","Level 46"
142,"Wing Attack","Level 1"
142,"Agility","Level 8"
142,"Bite","Level 15"
142,"Supersonic","Level 22"
142,"AncientPower","Level 29"
142,"Scary Face","Level 36"
142,"Take Down","Level 43"
142,"Hyper Beam","Level 50"
306,"Tackle","Level 1"
306,"Harden","Level 1"
306,"Mud-Slap","Level 1"
306,"Headbutt","Level 1"
306,"Harden","Level 4"
306,"Mud-Slap","Level 7"
306,"Headbutt","Level 10"
306,"Metal Claw","Level 13"
306,"Iron Defense","Level 17"
306,"Roar","Level 21"
306,"Take Down","Level 25"
306,"Iron Tail","Level 29"
306,"Protect","Level 37"
306,"Metal Sound","Level 50"
306,"Double-Edge","Level 63"
190,"Scratch","Level 1"
190,"Tail Whip","Level 1"
190,"Sand-Attack","Level 6"
190,"Astonish","Level 13"
190,"Baton Pass","Level 18"
190,"Tickle","Level 25"
190,"Fury Swipes","Level 31"
190,"Swift","Level 38"
190,"Screech","Level 43"
190,"Agility","Level 50"
65,"Teleport","Level 1"
65,"Kinesis","Level 1"
65,"Confusion","Level 1"
65,"Confusion","Level 16"
65,"Disable","Level 18"
65,"Psybeam","Level 21"
65,"Reflect","Level 23"
65,"Recover","Level 25"
65,"Future Sight","Level 30"
65,"Calm Mind","Level 33"
65,"Psychic","Level 36"
65,"Trick","Level 43"
334,"Peck","Level 1"
334,"Growl","Level 1"
334,"Astonish","Level 1"
334,"Sing","Level 1"
334,"Astonish","Level 8"
334,"Sing","Level 11"
334,"Fury Attack","Level 18"
334,"Safeguard","Level 21"
334,"Mist","Level 28"
334,"Take Down","Level 31"
334,"DragonBreath","Level 35"
334,"Dragon Dance","Level 40"
334,"Refresh","Level 45"
334,"Perish Song","Level 54"
334,"Sky Attack","Level 59"
181,"Tackle","Level 1"
181,"Growl","Level 1"
181,"ThunderShock","Level 1"
181,"Thunder Wave","Level 1"
181,"ThunderShock","Level 9"
181,"Thunder Wave","Level 18"
181,"Cotton Spore","Level 27"
181,"ThunderPunch","Level 30"
181,"Light Screen","Level 42"
181,"Thunder","Level 57"
347,"Scratch","Level 1"
347,"Harden","Level 7"
347,"Mud Sport","Level 13"
347,"Water Gun","Level 19"
347,"Metal Claw","Level 25"
347,"Protect","Level 31"
347,"AncientPower","Level 37"
347,"Fury Cutter","Level 43"
347,"Slash","Level 49"
347,"Rock Blast","Level 55"
24,"Wrap","Level 1"
24,"Leer","Level 1"
24,"Poison Sting","Level 1"
24,"Bite","Level 1"
24,"Poison Sting","Level 8"
24,"Bite","Level 13"
24,"Glare","Level 20"
24,"Screech","Level 28"
24,"Acid","Level 38"
24,"Stockpile","Level 46"
24,"Swallow","Level 46"
24,"Spit Up","Level 46"
24,"Haze","Level 56"
59,"Bite","Level 1"
59,"Roar","Level 1"
59,"Ember","Level 1"
59,"Odor Sleuth","Level 1"
59,"ExtremeSpeed","Level 49"
168,"Poison Sting","Level 1"
168,"String Shot","Level 1"
