NDex#,Move
3,"Block"
3,"Body Slam"
3,"Bullet Seed"
3,"Charm"
3,"Curse"
3,"Cut"
3,"Defense Curl"
3,"Double-Edge"
3,"Double Team"
3,"Earthquake"
3,"Endure"
3,"Facade"
3,"False Swipe"
3,"Flash"
3,"Frenzy Plant"
3,"Frustration"
3,"Fury Cutter"
3,"Giga Drain"
3,"Growl"
3,"Growth"
3,"Headbutt"
3,"Helping Hand"
3,"Hidden Power"
3,"Hyper Beam"
3,"Knock Off"
3,"Leech Seed"
3,"Light Screen"
3,"Magical Leaf"
3,"Mega Drain"
3,"Mimic"
3,"Mud-Slap"
3,"Nature Power"
3,"Outrage"
3,"Petal Dance"
3,"Poison Powder"
3,"Protect"
3,"Rage"
3,"Razor Leaf"
3,"Reflect"
3,"Rest"
3,"Return"
3,"Roar"
3,"Rock Smash"
3,"Safeguard"
3,"Secret Power"
3,"Sleep Powder"
3,"Sleep Talk"
3,"Sludge Bomb"
3,"Snore"
3,"Solar Beam"
3,"Strength"
3,"String Shot"
3,"Substitute"
3,"Sunny Day"
3,"Swagger"
3,"Sweet Scent"
3,"Swords Dance"
3,"Synthesis"
3,"Tackle"
3,"Take Down"
3,"Toxic"
3,"Vine Whip"
3,"Weather Ball"
4,"Aerial Ace"
4,"Air Cutter"
4,"Ancient Power"
4,"Attract"
4,"Beat Up"
4,"Belly Drum"
4,"Bide"
4,"Bite"
4,"Blast Burn"
4,"Block"
4,"Body Slam"
4,"Brick Break"
4,"Counter"
4,"Crunch"
4,"Curse"
4,"Cut"
4,"Defense Curl"
4,"Dig"
4,"Double-Edge"
4,"Double Team"
4,"Dragon Breath"
4,"Dragon Claw"
4,"Dragon Dance"
4,"Dragon Rage"
4,"Dynamic Punch"
4,"Ember"
4,"Endure"
4,"Facade"
4,"False Swipe"
4,"Fire Blast"
4,"Fire Punch"
4,"Fire Spin"
4,"Flamethrower"
4,"Focus Punch"
4,"Frustration"
4,"Fury Cutter"
4,"Fury Swipes"
4,"Growl"
4,"Headbutt"
4,"Heat Wave"
4,"Helping Hand"
4,"Hidden Power"
4,"Howl"
4,"Iron Tail"
4,"Leer"
4,"Mega Kick"
4,"Mega Punch"
4,"Metal Claw"
4,"Mimic"
4,"Mud-Slap"
4,"Outrage"
4,"Overheat"
4,"Protect"
4,"Quick Attack"
4,"Rage"
4,"Reflect"
4,"Rest"
4,"Return"
4,"Rock Slide"
4,"Rock Smash"
4,"Rock Tomb"
4,"Scary Face"
4,"Scratch"
4,"Secret Power"
4,"Seismic Toss"
4,"Skull Bash"
4,"Slash"
4,"Sleep Talk"
4,"Smokescreen"
4,"Snore"
4,"Strength"
4,"Submission"
4,"Substitute"
4,"Sunny Day"
4,"Swagger"
4,"Swift"
4,"Swords Dance"
4,"Take Down"
4,"Thunder Punch"
4,"Toxic"
4,"Weather Ball"
4,"Will-O-Wisp"
4,"Wing Attack"
5,"Aerial Ace"
5,"Attract"
5,"Beat Up"
5,"Bide"
5,"Body Slam"
5,"Brick Break"
5,"Counter"
5,"Crunch"
5,"Curse"
5,"Cut"
5,"Defense Curl"
5,"Dig"
5,"Double-Edge"
5,"Double Team"
5,"Dragon Breath"
5,"Dragon Claw"
5,"Dragon Dance"
5,"Dragon Rage"
5,"Dynamic Punch"
5,"Ember"
5,"Endure"
5,"Facade"
5,"False Swipe"
5,"Fire Blast"
5,"Fire Punch"
5,"Fire Spin"
5,"Flamethrower"
5,"Focus Punch"
5,"Frustration"
5,"Fury Cutter"
5,"Fury Swipes"
5,"Growl"
5,"Headbutt"
5,"Heat Wave"
5,"Helping Hand"
5,"Hidden Power"
5,"Iron Tail"
5,"Leer"
5,"Mega Kick"
5,"Mega Punch"
5,"Metal Claw"
5,"Mimic"
5,"Mud-Slap"
5,"Outrage"
5,"Overheat"
5,"Protect"
5,"Rage"
5,"Reflect"
5,"Rest"
5,"Return"
5,"Rock Slide"
5,"Rock Smash"
5,"Rock Tomb"
5,"Scary Face"
5,"Scratch"
5,"Secret Power"
5,"Seismic Toss"
5,"Skull Bash"
5,"Slash"
5,"Sleep Talk"
5,"Smokescreen"
5,"Snore"
5,"Strength"
5,"Submission"
5,"Substitute"
5,"Sunny Day"
5,"Swagger"
5,"Swift"
5,"Swords Dance"
5,"Take Down"
5,"Thunder Punch"
5,"Toxic"
5,"Weather Ball"
5,"Will-O-Wisp"
6,"Aerial Ace"
6,"Air Cutter"
6,"Attract"
6,"Beat Up"
6,"Bide"
6,"Blast Burn"
6,"Blaze Kick"
6,"Body Slam"
6,"Brick Break"
6,"Counter"
6,"Crunch"
6,"Curse"
6,"Cut"
6,"Defense Curl"
6,"Dig"
6,"Double-Edge"
6,"Double Team"
6,"Dragon Breath"
6,"Dragon Claw"
6,"Dragon Dance"
6,"Dragon Rage"
6,"Dynamic Punch"
6,"Earthquake"
6,"Ember"
6,"Endure"
6,"Facade"
6,"False Swipe"
6,"Fire Blast"
6,"Fire Punch"
6,"Fire Spin"
6,"Fissure"
6,"Flamethrower"
6,"Fly"
6,"Focus Punch"
6,"Frustration"
6,"Fury Cutter"
6,"Fury Swipes"
6,"Growl"
6,"Headbutt"
6,"Heat Wave"
6,"Helping Hand"
6,"Hidden Power"
6,"Hyper Beam"
6,"Iron Tail"
6,"Leer"
6,"Mega Kick"
6,"Mega Punch"
6,"Metal Claw"
6,"Mimic"
6,"Mud-Slap"
6,"Outrage"
6,"Overheat"
6,"Protect"
6,"Rage"
6,"Reflect"
6,"Rest"
6,"Return"
6,"Roar"
6,"Rock Slide"
6,"Rock Smash"
6,"Rock Tomb"
6,"Sandstorm"
6,"Scary Face"
6,"Scratch"
6,"Secret Power"
6,"Seismic Toss"
6,"Skull Bash"
6,"Slash"
6,"Sleep Talk"
6,"Smokescreen"
6,"Snore"
6,"Solar Beam"
6,"Steel Wing"
6,"Strength"
6,"Submission"
6,"Substitute"
6,"Sunny Day"
6,"Swagger"
6,"Swift"
6,"Swords Dance"
6,"Take Down"
6,"Thunder Punch"
6,"Toxic"
6,"Twister"
6,"Weather Ball"
6,"Will-O-Wisp"
6,"Wing Attack"
7,"Attract"
7,"Bide"
7,"Bite"
7,"Blizzard"
7,"Block"
7,"Body Slam"
7,"Brick Break"
7,"Bubble"
7,"Bubble Beam"
7,"Confusion"
7,"Counter"
7,"Curse"
7,"Defense Curl"
7,"Dig"
7,"Dive"
7,"Double-Edge"
7,"Double Team"
7,"Dynamic Punch"
7,"Endure"
7,"Facade"
7,"Fake Out"
7,"False Swipe"
7,"Flail"
7,"Focus Punch"
7,"Follow Me"
7,"Foresight"
7,"Frustration"
7,"Hail"
7,"Haze"
7,"Headbutt"
7,"Helping Hand"
7,"Hidden Power"
7,"Hydro Cannon"
7,"Hydro Pump"
7,"Ice Beam"
7,"Ice Punch"
7,"Icy Wind"
7,"Iron Defense"
7,"Iron Tail"
7,"Mega Kick"
7,"Mega Punch"
7,"Mimic"
7,"Mirror Coat"
7,"Mist"
7,"Muddy Water"
7,"Mud-Slap"
7,"Mud Sport"
7,"Outrage"
7,"Protect"
7,"Rage"
7,"Rain Dance"
7,"Rapid Spin"
7,"Reflect"
7,"Refresh"
7,"Rest"
7,"Return"
7,"Rock Slide"
7,"Rock Smash"
7,"Rock Tomb"
7,"Rollout"
7,"Secret Power"
7,"Seismic Toss"
7,"Skull Bash"
7,"Sleep Talk"
7,"Snore"
7,"Strength"
7,"Submission"
7,"Substitute"
7,"Surf"
7,"Swagger"
7,"Tackle"
7,"Tail Whip"
7,"Take Down"
7,"Toxic"
7,"Waterfall"
7,"Water Gun"
7,"Water Pulse"
7,"Water Spout"
7,"Weather Ball"
7,"Whirlpool"
7,"Withdraw"
7,"Yawn"
8,"Attract"
8,"Bide"
8,"Bite"
8,"Blizzard"
8,"Body Slam"
8,"Brick Break"
8,"Bubble"
8,"Bubble Beam"
8,"Counter"
8,"Curse"
8,"Defense Curl"
8,"Dig"
8,"Dive"
8,"Double-Edge"
8,"Double Team"
8,"Dynamic Punch"
8,"Endure"
8,"Facade"
8,"False Swipe"
8,"Focus Punch"
8,"Frustration"
8,"Hail"
8,"Headbutt"
8,"Helping Hand"
8,"Hidden Power"
8,"Hydro Pump"
8,"Ice Beam"
8,"Ice Punch"
8,"Icy Wind"
8,"Iron Defense"
8,"Iron Tail"
8,"Mega Kick"
8,"Mega Punch"
8,"Mimic"
8,"Muddy Water"
8,"Mud-Slap"
8,"Outrage"
8,"Protect"
8,"Rage"
8,"Rain Dance"
8,"Rapid Spin"
8,"Reflect"
8,"Rest"
8,"Return"
8,"Rock Slide"
8,"Rock Smash"
8,"Rock Tomb"
8,"Rollout"
8,"Secret Power"
8,"Seismic Toss"
8,"Skull Bash"
8,"Sleep Talk"
8,"Snore"
8,"Strength"
8,"Submission"
8,"Substitute"
8,"Surf"
8,"Swagger"
8,"Tackle"
8,"Tail Whip"
8,"Take Down"
8,"Toxic"
8,"Waterfall"
8,"Water Gun"
8,"Water Pulse"
8,"Weather Ball"
8,"Whirlpool"
8,"Withdraw"
9,"Attract"
9,"Bide"
9,"Bite"
9,"Blizzard"
9,"Body Slam"
9,"Brick Break"
9,"Bubble"
9,"Bubble Beam"
9,"Counter"
9,"Crunch"
9,"Curse"
9,"Defense Curl"
9,"Dig"
9,"Dive"
9,"Double-Edge"
9,"Double Team"
9,"Dynamic Punch"
9,"Earthquake"
9,"Endure"
9,"Facade"
9,"Fake Out"
9,"False Swipe"
9,"Fissure"
9,"Focus Punch"
9,"Frustration"
9,"Hail"
9,"Headbutt"
9,"Helping Hand"
9,"Hidden Power"
9,"Hydro Cannon"
9,"Hydro Pump"
9,"Hyper Beam"
9,"Ice Beam"
9,"Ice Punch"
9,"Icy Wind"
9,"Iron Defense"
9,"Iron Tail"
9,"Mega Kick"
9,"Mega Punch"
9,"Mimic"
9,"Muddy Water"
9,"Mud-Slap"
9,"Outrage"
9,"Protect"
9,"Rage"
9,"Rain Dance"
9,"Rapid Spin"
9,"Reflect"
9,"Rest"
9,"Return"
9,"Roar"
9,"Rock Slide"
9,"Rock Smash"
9,"Rock Tomb"
9,"Rollout"
9,"Secret Power"
9,"Seismic Toss"
9,"Signal Beam"
9,"Skull Bash"
9,"Sleep Talk"
9,"Snore"
9,"Strength"
9,"Submission"
9,"Substitute"
9,"Surf"
9,"Swagger"
9,"Tackle"
9,"Tail Whip"
9,"Take Down"
9,"Toxic"
9,"Waterfall"
9,"Water Gun"
9,"Water Pulse"
9,"Weather Ball"
9,"Whirlpool"
9,"Withdraw"
10,"Snore"
10,"String Shot"
10,"Tackle"
11,"Harden"
11,"Iron Defense"
11,"String Shot"
12,"Aerial Ace"
12,"Air Cutter"
12,"Attract"
12,"Baton Pass"
12,"Bide"
12,"Confusion"
12,"Curse"
12,"Double-Edge"
12,"Double Team"
12,"Dream Eater"
12,"Endure"
12,"Facade"
12,"Flash"
12,"Frustration"
12,"Giga Drain"
12,"Gust"
12,"Harden"
12,"Headbutt"
12,"Hidden Power"
12,"Hyper Beam"
12,"Iron Defense"
12,"Mega Drain"
12,"Mimic"
12,"Morning Sun"
12,"Nightmare"
12,"Poison Powder"
12,"Protect"
12,"Psybeam"
12,"Psychic"
12,"Psych Up"
12,"Psywave"
12,"Rage"
12,"Rain Dance"
12,"Razor Wind"
12,"Reflect"
12,"Rest"
12,"Return"
12,"Safeguard"
12,"Secret Power"
12,"Shadow Ball"
12,"Signal Beam"
12,"Silver Wind"
12,"Skill Swap"
12,"Sleep Powder"
12,"Sleep Talk"
12,"Snore"
12,"Solar Beam"
12,"String Shot"
12,"Stun Spore"
12,"Substitute"
12,"Sunny Day"
12,"Supersonic"
12,"Swagger"
12,"Sweet Scent"
12,"Swift"
12,"Tackle"
12,"Take Down"
12,"Teleport"
12,"Thief"
12,"Toxic"
12,"Twister"
12,"Whirlwind"
13,"Poison Sting"
13,"String Shot"
14,"Harden"
14,"Iron Defense"
14,"String Shot"
15,"Aerial Ace"
15,"Agility"
15,"Air Cutter"
15,"Attract"
15,"Baton Pass"
15,"Bide"
15,"Brick Break"
15,"Curse"
15,"Cut"
15,"Double-Edge"
15,"Double Team"
15,"Endeavor"
15,"Endure"
15,"Facade"
15,"False Swipe"
15,"Flash"
15,"Focus Energy"
15,"Frustration"
15,"Fury Attack"
15,"Fury Cutter"
15,"Giga Drain"
15,"Headbutt"
15,"Hidden Power"
15,"Hyper Beam"
15,"Knock Off"
15,"Mega Drain"
15,"Mimic"
15,"Outrage"
15,"Peck"
15,"Pin Missile"
15,"Protect"
15,"Pursuit"
15,"Rage"
15,"Reflect"
15,"Rest"
15,"Return"
15,"Rock Smash"
15,"Secret Power"
15,"Silver Wind"
15,"Skull Bash"
15,"Sleep Talk"
15,"Sludge Bomb"
15,"Snore"
15,"Solar Beam"
15,"String Shot"
15,"Substitute"
15,"Sunny Day"
15,"Swagger"
15,"Sweet Scent"
15,"Swift"
15,"Swords Dance"
15,"Take Down"
15,"Thief"
15,"Toxic"
15,"Twineedle"
16,"Aerial Ace"
16,"Agility"
16,"Air Cutter"
16,"Attract"
16,"Bide"
16,"Curse"
16,"Detect"
16,"Double-Edge"
16,"Double Team"
16,"Endure"
16,"Facade"
16,"Feather Dance"
16,"Feint Attack"
16,"Fly"
16,"Foresight"
16,"Frustration"
16,"Gust"
16,"Headbutt"
16,"Heat Wave"
16,"Hidden Power"
16,"Mimic"
16,"Mirror Move"
16,"Mud-Slap"
16,"Protect"
16,"Pursuit"
16,"Quick Attack"
16,"Rage"
16,"Rain Dance"
16,"Razor Wind"
16,"Reflect"
16,"Rest"
16,"Return"
16,"Sand Attack"
16,"Secret Power"
16,"Sky Attack"
16,"Sleep Talk"
16,"Snore"
16,"Steel Wing"
16,"Substitute"
16,"Sunny Day"
16,"Swagger"
16,"Swift"
16,"Tackle"
16,"Take Down"
16,"Thief"
16,"Toxic"
16,"Twister"
16,"Uproar"
16,"Whirlwind"
16,"Wing Attack"
17,"Aerial Ace"
17,"Agility"
17,"Air Cutter"
17,"Attract"
17,"Bide"
17,"Curse"
17,"Detect"
17,"Double-Edge"
17,"Double Team"
17,"Endure"
17,"Facade"
17,"Feather Dance"
17,"Fly"
17,"Frustration"
17,"Gust"
17,"Headbutt"
17,"Heat Wave"
17,"Hidden Power"
17,"Mimic"
17,"Mirror Move"
17,"Mud-Slap"
17,"Protect"
17,"Quick Attack"
17,"Rage"
17,"Rain Dance"
17,"Razor Wind"
17,"Reflect"
17,"Refresh"
17,"Rest"
17,"Return"
17,"Sand Attack"
17,"Secret Power"
17,"Sky Attack"
17,"Sleep Talk"
17,"Snore"
17,"Steel Wing"
17,"Substitute"
17,"Sunny Day"
17,"Swagger"
17,"Swift"
17,"Tackle"
17,"Take Down"
17,"Thief"
17,"Toxic"
17,"Twister"
17,"Uproar"
17,"Whirlwind"
17,"Wing Attack"
18,"Aerial Ace"
18,"Agility"
18,"Air Cutter"
18,"Attract"
18,"Bide"
18,"Curse"
18,"Detect"
18,"Double-Edge"
18,"Double Team"
18,"Endure"
18,"Facade"
18,"Feather Dance"
18,"Fly"
18,"Frustration"
18,"Gust"
18,"Headbutt"
18,"Heat Wave"
18,"Hidden Power"
18,"Hyper Beam"
18,"Mimic"
18,"Mirror Move"
18,"Mud-Slap"
18,"Protect"
18,"Quick Attack"
18,"Rage"
18,"Rain Dance"
18,"Razor Wind"
18,"Reflect"
18,"Rest"
18,"Return"
18,"Sand Attack"
18,"Secret Power"
18,"Sky Attack"
18,"Sleep Talk"
18,"Snore"
18,"Steel Wing"
18,"Substitute"
18,"Sunny Day"
18,"Swagger"
18,"Swift"
18,"Tackle"
18,"Take Down"
18,"Thief"
18,"Toxic"
18,"Twister"
18,"Uproar"
18,"Whirlwind"
18,"Wing Attack"
19,"Attract"
19,"Bide"
19,"Bite"
19,"Blizzard"
19,"Body Slam"
19,"Bubble Beam"
19,"Counter"
19,"Covet"
19,"Crunch"
19,"Curse"
19,"Cut"
19,"Defense Curl"
19,"Dig"
19,"Double-Edge"
19,"Double Team"
19,"Endeavor"
19,"Endure"
19,"Facade"
19,"Flame Wheel"
19,"Focus Energy"
19,"Frustration"
19,"Fury Swipes"
19,"Headbutt"
19,"Hidden Power"
19,"Hyper Fang"
19,"Ice Beam"
19,"Icy Wind"
19,"Iron Tail"
19,"Mimic"
19,"Mud-Slap"
19,"Protect"
19,"Pursuit"
19,"Quick Attack"
19,"Rage"
19,"Rain Dance"
19,"Rest"
19,"Return"
19,"Revenge"
19,"Reversal"
19,"Rock Smash"
19,"Screech"
19,"Secret Power"
19,"Shadow Ball"
19,"Shock Wave"
19,"Skull Bash"
19,"Sleep Talk"
19,"Snore"
19,"Substitute"
19,"Sunny Day"
19,"Super Fang"
19,"Swagger"
19,"Swift"
19,"Tackle"
19,"Tail Whip"
19,"Take Down"
19,"Taunt"
19,"Thief"
19,"Thunder"
19,"Thunderbolt"
19,"Thunder Wave"
19,"Toxic"
19,"Uproar"
19,"Water Gun"
20,"Attract"
20,"Bide"
20,"Bite"
20,"Blizzard"
20,"Body Slam"
20,"Bubble Beam"
20,"Counter"
20,"Covet"
20,"Crunch"
20,"Curse"
20,"Cut"
20,"Defense Curl"
20,"Dig"
20,"Double-Edge"
20,"Double Team"
20,"Endeavor"
20,"Endure"
20,"Facade"
20,"Focus Energy"
20,"Frustration"
20,"Fury Swipes"
20,"Headbutt"
20,"Hidden Power"
20,"Hyper Beam"
20,"Hyper Fang"
20,"Ice Beam"
20,"Icy Wind"
20,"Iron Tail"
20,"Mimic"
20,"Mud-Slap"
20,"Protect"
20,"Pursuit"
20,"Quick Attack"
20,"Rage"
20,"Rain Dance"
20,"Refresh"
20,"Rest"
20,"Return"
20,"Roar"
20,"Rock Smash"
20,"Scary Face"
20,"Secret Power"
20,"Shadow Ball"
20,"Shock Wave"
20,"Skull Bash"
20,"Sleep Talk"
20,"Snore"
20,"Strength"
20,"Substitute"
20,"Sunny Day"
20,"Super Fang"
20,"Swagger"
20,"Swift"
20,"Swords Dance"
20,"Tackle"
20,"Tail Whip"
20,"Take Down"
20,"Taunt"
20,"Thief"
20,"Thunder"
20,"Thunderbolt"
20,"Thunder Wave"
20,"Toxic"
20,"Uproar"
20,"Water Gun"
21,"Aerial Ace"
21,"Agility"
21,"Air Cutter"
21,"Astonish"
21,"Attract"
21,"Baton Pass"
21,"Bide"
21,"Curse"
21,"Detect"
21,"Double-Edge"
21,"Double Team"
21,"Endure"
21,"Facade"
21,"False Swipe"
21,"Feather Dance"
21,"Feint Attack"
21,"Fly"
21,"Focus Energy"
21,"Frustration"
21,"Fury Attack"
21,"Growl"
21,"Headbutt"
21,"Heat Wave"
21,"Hidden Power"
21,"Leer"
21,"Mimic"
21,"Mirror Move"
21,"Mud-Slap"
21,"Peck"
21,"Protect"
21,"Pursuit"
21,"Quick Attack"
21,"Rage"
21,"Rain Dance"
21,"Razor Wind"
21,"Rest"
21,"Return"
21,"Scary Face"
21,"Secret Power"
21,"Sky Attack"
21,"Sleep Talk"
21,"Snore"
21,"Steel Wing"
21,"Substitute"
21,"Sunny Day"
21,"Swagger"
21,"Swift"
21,"Take Down"
21,"Thief"
21,"Toxic"
21,"Tri Attack"
21,"Twister"
21,"Uproar"
21,"Whirlwind"
22,"Aerial Ace"
22,"Agility"
22,"Air Cutter"
22,"Attract"
22,"Bide"
22,"Curse"
22,"Detect"
22,"Double-Edge"
22,"Double Team"
22,"Endure"
22,"Facade"
22,"False Swipe"
22,"Fly"
22,"Focus Energy"
22,"Frustration"
22,"Fury Attack"
22,"Growl"
22,"Headbutt"
22,"Heat Wave"
22,"Hidden Power"
22,"Hyper Beam"
22,"Leer"
22,"Mimic"
22,"Mirror Move"
22,"Mud-Slap"
22,"Peck"
22,"Protect"
22,"Pursuit"
22,"Quick Attack"
22,"Rage"
22,"Rain Dance"
22,"Razor Wind"
22,"Rest"
22,"Return"
22,"Secret Power"
22,"Sky Attack"
22,"Sleep Talk"
22,"Snore"
22,"Steel Wing"
22,"Substitute"
22,"Sunny Day"
22,"Swagger"
22,"Swift"
22,"Take Down"
22,"Thief"
22,"Toxic"
22,"Tri Attack"
22,"Twister"
22,"Uproar"
22,"Whirlwind"
23,"Acid"
23,"Attract"
23,"Beat Up"
23,"Bide"
23,"Bind"
23,"Bite"
23,"Body Slam"
23,"Crunch"
23,"Curse"
23,"Dig"
23,"Disable"
23,"Double-Edge"
23,"Double Team"
23,"Earthquake"
23,"Endure"
23,"Facade"
23,"Fissure"
23,"Frustration"
23,"Giga Drain"
23,"Glare"
23,"Haze"
23,"Headbutt"
23,"Hidden Power"
23,"Iron Tail"
23,"Leer"
23,"Mega Drain"
23,"Mimic"
23,"Poison Fang"
23,"Poison Sting"
23,"Poison Tail"
23,"Protect"
23,"Pursuit"
23,"Rage"
23,"Rain Dance"
23,"Rest"
23,"Return"
23,"Rock Slide"
23,"Rock Tomb"
23,"Scary Face"
23,"Screech"
23,"Secret Power"
23,"Skull Bash"
23,"Slam"
23,"Sleep Talk"
23,"Sludge Bomb"
23,"Snatch"
23,"Snore"
23,"Spite"
23,"Spit Up"
23,"Stockpile"
23,"Strength"
23,"Substitute"
23,"Sunny Day"
23,"Swagger"
23,"Swallow"
23,"Take Down"
23,"Thief"
23,"Torment"
23,"Toxic"
23,"Wrap"
24,"Acid"
24,"Attract"
24,"Bide"
24,"Bind"
24,"Bite"
24,"Body Slam"
24,"Crunch"
24,"Curse"
24,"Dig"
24,"Double-Edge"
24,"Double Team"
24,"Earthquake"
24,"Endure"
24,"Facade"
24,"Fissure"
24,"Frustration"
24,"Giga Drain"
24,"Glare"
24,"Haze"
24,"Headbutt"
24,"Hidden Power"
24,"Hyper Beam"
24,"Iron Tail"
24,"Leer"
24,"Mega Drain"
24,"Mimic"
24,"Poison Sting"
24,"Protect"
24,"Rage"
24,"Rain Dance"
24,"Refresh"
24,"Rest"
24,"Return"
24,"Rock Slide"
24,"Rock Tomb"
24,"Screech"
24,"Secret Power"
24,"Skull Bash"
24,"Slam"
24,"Sleep Talk"
24,"Sludge Bomb"
24,"Snatch"
24,"Snore"
24,"Spite"
24,"Spit Up"
24,"Stockpile"
24,"Strength"
24,"Substitute"
24,"Sunny Day"
24,"Swagger"
24,"Swallow"
24,"Take Down"
24,"Thief"
24,"Torment"
24,"Toxic"
24,"Wrap"
25,"Agility"
25,"Attract"
25,"Bide"
25,"Body Slam"
25,"Brick Break"
25,"Calm Mind"
25,"Charm"
25,"Counter"
25,"Covet"
25,"Curse"
25,"Defense Curl"
25,"Detect"
25,"Dig"
25,"Double-Edge"
25,"Double Kick"
25,"Double Team"
25,"Dynamic Punch"
25,"Encore"
25,"Endeavor"
25,"Endure"
25,"Extreme Speed"
25,"Facade"
25,"Fake Out"
25,"Flash"
25,"Fly"
25,"Focus Punch"
25,"Frustration"
25,"Growl"
25,"Headbutt"
25,"Helping Hand"
25,"Hidden Power"
25,"Iron Tail"
25,"Knock Off"
25,"Light Screen"
25,"Mega Kick"
25,"Mega Punch"
25,"Mimic"
25,"Mud-Slap"
25,"Pay Day"
25,"Present"
25,"Protect"
25,"Quick Attack"
25,"Rage"
25,"Rain Dance"
25,"Reflect"
25,"Refresh"
25,"Rest"
25,"Return"
25,"Reversal"
25,"Rock Smash"
25,"Rollout"
25,"Secret Power"
25,"Seismic Toss"
25,"Shock Wave"
25,"Signal Beam"
25,"Sing"
25,"Skull Bash"
25,"Slam"
25,"Sleep Talk"
25,"Snore"
25,"Spark"
25,"Strength"
25,"Submission"
25,"Substitute"
25,"Surf"
25,"Swagger"
25,"Sweet Kiss"
25,"Sweet Scent"
25,"Swift"
25,"Tail Whip"
25,"Take Down"
25,"Teeter Dance"
25,"Thief"
25,"Thunder"
25,"Thunderbolt"
25,"Thunder Punch"
25,"Thunder Shock"
25,"Thunder Wave"
25,"Toxic"
25,"Uproar"
25,"Wish"
25,"Yawn"
25,"Zap Cannon"
26,"Agility"
26,"Attract"
26,"Bide"
26,"Body Slam"
26,"Brick Break"
26,"Calm Mind"
26,"Charm"
26,"Counter"
26,"Covet"
26,"Curse"
26,"Defense Curl"
26,"Detect"
26,"Dig"
26,"Double-Edge"
26,"Double Team"
26,"Dynamic Punch"
26,"Encore"
26,"Endure"
26,"Facade"
26,"Fake Out"
26,"Flash"
26,"Focus Punch"
26,"Frustration"
26,"Growl"
26,"Headbutt"
26,"Helping Hand"
26,"Hidden Power"
26,"Hyper Beam"
26,"Iron Tail"
26,"Knock Off"
26,"Light Screen"
26,"Mega Kick"
26,"Mega Punch"
26,"Mimic"
26,"Mud-Slap"
26,"Pay Day"
26,"Protect"
26,"Quick Attack"
26,"Rage"
26,"Rain Dance"
26,"Reflect"
26,"Rest"
26,"Return"
26,"Reversal"
26,"Rock Smash"
26,"Rollout"
26,"Safeguard"
26,"Secret Power"
26,"Seismic Toss"
26,"Shock Wave"
26,"Signal Beam"
26,"Skull Bash"
26,"Slam"
26,"Sleep Talk"
26,"Snore"
26,"Spark"
26,"Strength"
26,"Submission"
26,"Substitute"
26,"Surf"
26,"Swagger"
26,"Sweet Kiss"
26,"Swift"
26,"Tail Whip"
26,"Take Down"
26,"Thief"
26,"Thunder"
