MoveName,Accuracy,Power,PP,Status,TypeName
"Earthquake",100,100,10,0,"Ground"
"Fissure",30,0,5,1,"Ground"
"Dig",100,60,10,0,"Ground"
"Toxic",85,0,10,1,"Poison"
"Confusion",100,50,25,0,"Psychic"
"Psychic",100,90,10,0,"Psychic"
"Hypnosis",60,0,20,1,"Psychic"
"Meditate",NULL,0,40,1,"Psychic"
"Agility",NULL,0,30,1,"Psychic"
"Quick Attack",100,40,30,0,"Normal"
"Rage",100,20,20,0,"Normal"
"Teleport",NULL,0,20,1,"Psychic"
"Night Shade",100,0,15,0,"Ghost"
"Mimic",NULL,0,10,1,"Normal"
"Screech",85,0,40,1,"Normal"
"Double Team",NULL,0,15,1,"Normal"
"Recover",NULL,0,20,1,"Normal"
"Harden",NULL,0,30,1,"Normal"
"Minimize",NULL,0,20,1,"Normal"
"Smokescreen",100,0,20,1,"Normal"
"Confuse Ray",100,0,10,1,"Ghost"
"Withdraw",NULL,0,40,1,"Water"
"Defense Curl",NULL,0,40,1,"Normal"
"Barrier",NULL,0,30,1,"Psychic"
"Light Screen",NULL,0,30,1,"Psychic"
"Haze",NULL,0,30,1,"Ice"
"Reflect",NULL,0,20,1,"Psychic"
"Focus Energy",NULL,0,30,1,"Normal"
"Bide",100,0,10,0,"Normal"
"Metronome",NULL,0,10,1,"Normal"
"Mirror Move",NULL,0,20,1,"Flying"
"Self-Destruct",100,200,5,0,"Normal"
"Egg Bomb",75,100,10,0,"Normal"
"Lick",100,20,30,0,"Ghost"
"Smog",70,20,20,0,"Poison"
"Sludge",100,65,20,0,"Poison"
"Bone Club",85,65,20,0,"Ground"
"Fire Blast",85,120,5,0,"Fire"
"Waterfall",100,80,15,0,"Water"
"Clamp",75,35,10,0,"Water"
"Swift",NULL,60,20,0,"Normal"
"Skull Bash",100,100,15,0,"Normal"
"Spike Cannon",100,20,15,0,"Normal"
"Constrict",100,10,35,0,"Normal"
"Amnesia",NULL,0,20,1,"Psychic"
"Kinesis",80,0,15,1,"Psychic"
"Soft-Boiled",NULL,0,10,1,"Normal"
"High Jump Kick",90,85,20,0,"Fighting"
"Glare",75,0,30,1,"Normal"
"Dream Eater",100,100,15,0,"Psychic"
"Poison Gas",55,0,40,1,"Poison"
"Barrage",85,15,20,0,"Normal"
"Leech Life",100,20,15,0,"Bug"
"Lovely Kiss",75,0,10,1,"Normal"
"Sky Attack",90,140,5,0,"Flying"
"Transform",NULL,0,10,1,"Normal"
"Bubble",100,20,30,0,"Water"
"Dizzy Punch",100,70,10,0,"Normal"
"Spore",100,0,15,1,"Grass"
"Flash",70,0,20,1,"Normal"
"Psywave",80,0,15,0,"Psychic"
"Splash",NULL,0,40,1,"Normal"
"Acid Armor",NULL,0,40,1,"Poison"
"Crabhammer",85,90,10,0,"Water"
"Explosion",100,250,5,0,"Normal"
"Fury Swipes",80,18,15,0,"Normal"
"Bonemerang",90,50,10,0,"Ground"
"Rest",NULL,0,10,1,"Psychic"
"Rock Slide",90,75,10,0,"Rock"
"Hyper Fang",90,80,15,0,"Normal"
"Sharpen",NULL,0,30,1,"Normal"
"Conversion",NULL,0,30,1,"Normal"
"Tri Attack",100,80,10,0,"Normal"
"Super Fang",90,0,10,0,"Normal"
"Slash",100,70,20,0,"Normal"
"Substitute",NULL,0,10,1,"Normal"
"Struggle",100,50,1,0,"Normal"
"Sketch",NULL,0,1,1,"Normal"
"Triple Kick",90,10,10,0,"Fighting"
"Thief",100,40,10,0,"Dark"
"Spider Web",NULL,0,10,1,"Bug"
"Mind Reader",100,0,5,1,"Normal"
"Nightmare",100,0,15,1,"Ghost"
"Flame Wheel",100,60,25,0,"Fire"
"Snore",100,40,15,0,"Normal"
"Curse",NULL,0,10,1,"???"
"Flail",100,0,15,0,"Normal"
"Conversion 2",NULL,0,30,1,"Normal"
"Aeroblast",95,100,5,0,"Flying"
"Cotton Spore",85,0,40,1,"Grass"
"Reversal",100,0,15,0,"Fighting"
"Spite",100,0,10,1,"Ghost"
"Powder Snow",100,40,25,0,"Ice"
"Protect",NULL,0,10,1,"Normal"
"Mach Punch",100,40,30,0,"Fighting"
"Scary Face",90,0,10,1,"Normal"
"Feint Attack",NULL,60,20,0,"Dark"
"Sweet Kiss",75,0,10,1,"Normal"
"Belly Drum",NULL,0,10,1,"Normal"
"Sludge Bomb",100,90,10,0,"Poison"
"Mud-Slap",100,20,10,0,"Ground"
"Octazooka",85,65,10,0,"Water"
"Spikes",NULL,0,20,1,"Ground"
"Zap Cannon",50,100,5,0,"Electric"
"Foresight",100,0,40,1,"Normal"
"Destiny Bond",NULL,0,5,1,"Ghost"
"Perish Song",NULL,0,5,1,"Normal"
"Icy Wind",95,55,15,0,"Ice"
"Detect",NULL,0,5,1,"Fighting"
"Bone Rush",80,25,10,0,"Ground"
"Lock-On",100,0,5,1,"Normal"
"Outrage",100,90,15,0,"Dragon"
"Sandstorm",NULL,0,10,1,"Rock"
"Giga Drain",100,60,5,0,"Grass"
"Endure",NULL,0,10,1,"Normal"
"Charm",100,0,20,1,"Normal"
"Rollout",90,30,20,0,"Rock"
"False Swipe",100,40,40,0,"Normal"
"Swagger",90,0,15,1,"Normal"
"Milk Drink",NULL,0,10,1,"Normal"
"Spark",100,65,20,0,"Electric"
"Fury Cutter",95,10,20,0,"Bug"
"Steel Wing",90,70,25,0,"Steel"
"Mean Look",NULL,0,5,1,"Normal"
"Attract",100,0,15,1,"Normal"
"Sleep Talk",NULL,0,10,1,"Normal"
"Heal Bell",NULL,0,5,1,"Normal"
"Return",100,0,20,0,"Normal"
"Present",90,0,15,0,"Normal"
"Frustration",100,0,20,0,"Normal"
"Safeguard",NULL,0,25,1,"Normal"
"Pain Split",NULL,0,20,1,"Normal"
"Sacred Fire",95,100,5,0,"Fire"
"Magnitude",100,0,30,0,"Ground"
"Dynamic Punch",50,100,5,0,"Fighting"
"Megahorn",85,120,10,0,"Bug"
"Dragon Breath",100,60,20,0,"Dragon"
"Baton Pass",NULL,0,40,1,"Normal"
"Encore",100,0,5,1,"Normal"
"Pursuit",100,40,20,0,"Dark"
"Rapid Spin",100,20,40,0,"Normal"
"Sweet Scent",100,0,20,1,"Normal"
"Iron Tail",75,100,15,0,"Steel"
"Metal Claw",95,50,35,0,"Steel"
"Vital Throw",NULL,70,10,0,"Fighting"
"Morning Sun",NULL,0,5,1,"Normal"
"Synthesis",NULL,0,5,1,"Grass"
"Moonlight",NULL,0,5,1,"Normal"
"Hidden Power",100,0,15,1,"Normal"
"Cross Chop",80,100,5,0,"Fighting"
"Twister",100,40,20,0,"Dragon"
"Rain Dance",NULL,0,5,1,"Water"
"Sunny Day",NULL,0,5,1,"Fire"
"Crunch",100,80,15,0,"Dark"
"Mirror Coat",100,0,20,0,"Psychic"
"Psych Up",NULL,0,10,1,"Normal"
"Extreme Speed",100,80,5,0,"Normal"
"Ancient Power",100,60,5,0,"Rock"
"Shadow Ball",100,80,15,0,"Ghost"
"Future Sight",90,80,15,0,"Psychic"
"Rock Smash",100,20,15,0,"Fighting"
"Whirlpool",70,15,15,0,"Water"
"Beat Up",100,10,10,0,"Dark"
"Fake Out",100,40,10,0,"Normal"
"Uproar",100,50,10,0,"Normal"
"Stockpile",NULL,0,10,1,"Normal"
"Spit Up",100,0,10,0,"Normal"
"Swallow",NULL,0,10,1,"Normal"
"Heat Wave",90,100,10,0,"Fire"
"Hail",NULL,0,10,1,"Ice"
"Torment",100,0,15,1,"Dark"
"Flatter",100,0,15,1,"Dark"
"Will-O-Wisp",75,0,15,1,"Fire"
"Memento",100,0,10,1,"Dark"
"Facade",100,70,20,0,"Normal"
"Focus Punch",100,150,20,0,"Fighting"
"Smelling Salts",100,60,10,0,"Normal"
"Follow Me",NULL,0,20,1,"Normal"
"Nature Power",NULL,0,20,1,"Normal"
"Charge",NULL,0,20,1,"Electric"
"Taunt",100,0,20,1,"Dark"
"Helping Hand",NULL,0,20,1,"Normal"
"Trick",100,0,10,1,"Psychic"
"Role Play",NULL,0,10,1,"Psychic"
"Wish",NULL,0,10,1,"Normal"
"Assist",NULL,0,20,1,"Normal"
"Ingrain",NULL,0,20,1,"Grass"
"Superpower",100,120,5,0,"Fighting"
"Magic Coat",NULL,0,15,1,"Psychic"
"Revenge",100,60,10,0,"Fighting"
"Brick Break",100,75,15,0,"Fighting"
"Yawn",NULL,0,10,1,"Normal"
"Knock Off",100,20,20,0,"Dark"
"Endeavor",100,0,5,0,"Normal"
"Eruption",100,150,5,0,"Fire"
"Skill Swap",NULL,0,10,1,"Psychic"
"Imprison",NULL,0,10,1,"Psychic"
"Refresh",NULL,0,20,1,"Normal"
"Grudge",NULL,0,5,1,"Ghost"
"Snatch",NULL,0,10,1,"Dark"
"Secret Power",100,70,20,0,"Normal"
"Dive",100,60,10,0,"Water"
"Arm Thrust",100,15,20,0,"Fighting"
"Camouflage",NULL,0,20,1,"Normal"
"Tail Glow",NULL,0,20,1,"Bug"
"Luster Purge",100,70,5,0,"Psychic"
"Mist Ball",100,70,5,0,"Psychic"
"Feather Dance",100,0,15,1,"Flying"
"Teeter Dance",100,0,20,1,"Normal"
"Blaze Kick",90,85,10,0,"Fire"
"Mud Sport",NULL,0,15,1,"Ground"
"Ice Ball",90,30,20,0,"Ice"
"Needle Arm",100,60,15,0,"Grass"
"Slack Off",NULL,0,10,1,"Normal"
"Hyper Voice",100,90,10,0,"Normal"
"Poison Fang",100,50,15,0,"Poison"
"Crush Claw",95,75,10,0,"Normal"
"Blast Burn",90,150,5,0,"Fire"
"Hydro Cannon",90,150,5,0,"Water"
"Meteor Mash",85,100,10,0,"Steel"
"Astonish",100,30,15,0,"Ghost"
"Weather Ball",100,50,10,0,"Normal"
"Aromatherapy",NULL,0,5,1,"Grass"
"Fake Tears",100,0,20,1,"Dark"
"Air Cutter",95,55,25,0,"Flying"
"Overheat",90,140,5,0,"Fire"
"Odor Sleuth",100,0,40,1,"Normal"
"Rock Tomb",80,50,10,0,"Rock"
"Silver Wind",100,60,5,0,"Bug"
"Metal Sound",85,0,40,1,"Steel"
"Grass Whistle",55,0,15,1,"Grass"
"Tickle",100,0,20,1,"Normal"
"Cosmic Power",NULL,0,20,1,"Psychic"
"Water Spout",100,150,5,0,"Water"
"Signal Beam",100,75,15,0,"Bug"
"Shadow Punch",NULL,60,20,0,"Ghost"
"Extrasensory",100,80,30,0,"Psychic"
"Sky Uppercut",90,85,15,0,"Fighting"
"Sand Tomb",70,15,15,0,"Ground"
"Sheer Cold",30,0,5,1,"Ice"
"Muddy Water",85,95,10,0,"Water"
"Bullet Seed",100,10,30,0,"Grass"
"Aerial Ace",NULL,60,20,0,"Flying"
"Icicle Spear",100,10,30,0,"Ice"
"Iron Defense",NULL,0,15,1,"Steel"
"Block",NULL,0,5,1,"Normal"
"Howl",NULL,0,40,1,"Normal"
"Dragon Claw",100,80,15,0,"Dragon"
"Frenzy Plant",90,150,5,0,"Grass"
"Bulk Up",NULL,0,20,1,"Fighting"
"Bounce",85,85,5,0,"Flying"
"Mud Shot",95,55,15,0,"Ground"
"Poison Tail",100,50,25,0,"Poison"
"Covet",100,40,40,0,"Normal"
"Volt Tackle",100,120,15,0,"Electric"
"Magical Leaf",NULL,60,20,0,"Grass"
"Water Sport",NULL,0,15,1,"Water"
"Calm Mind",NULL,0,20,1,"Psychic"
"Leaf Blade",100,70,15,0,"Grass"
"Dragon Dance",NULL,0,20,1,"Dragon"
"Rock Blast",80,25,10,0,"Rock"
"Shock Wave",NULL,60,20,0,"Electric"
"Water Pulse",100,60,20,0,"Water"
"Doom Desire",85,120,5,0,"Steel"
"Psycho Boost",90,140,5,0,"Psychic"
