NDex#,Level,Move
267,27,"Whirlwind"
267,31,"Attract"
267,34,"Silver Wind"
267,38,"Giga Drain"
15,1,"Fury Attack"
15,10,"Fury Attack"
15,15,"Focus Energy"
15,20,"Twineedle"
15,25,"Rage"
15,30,"Pursuit"
15,35,"Pin Missile"
15,40,"Agility"
15,45,"Endeavor"
374,1,"Take Down"
182,1,"Absorb"
182,1,"Sweet Scent"
182,1,"Stun Spore"
182,1,"Magical Leaf"
182,44,"Petal Dance"
182,55,"SolarBeam"
69,1,"Vine Whip"
69,6,"Growth"
69,11,"Wrap"
69,15,"Sleep Powder"
69,17,"PoisonPowder"
69,19,"Stun Spore"
69,23,"Acid"
69,30,"Sweet Scent"
69,37,"Razor Leaf"
69,45,"Slam"
9,1,"Tackle"
9,1,"Tail Whip"
9,1,"Bubble"
9,1,"Withdraw"
9,4,"Tail Whip"
9,7,"Bubble"
9,10,"Withdraw"
9,13,"Water Gun"
9,19,"Bite"
9,25,"Rapid Spin"
9,31,"Protect"
9,42,"Rain Dance"
9,55,"Skull Bash"
9,68,"Hydro Pump"
257,1,"Fire Punch"
257,1,"Scratch"
257,1,"Growl"
257,1,"Focus Energy"
257,1,"Ember"
257,7,"Focus Energy"
257,13,"Ember"
257,16,"Double Kick"
257,17,"Peck"
257,21,"Sand-Attack"
257,28,"Bulk Up"
257,32,"Quick Attack"
257,36,"Blaze Kick"
257,42,"Slash"
257,49,"Mirror Move"
257,59,"Sky Uppercut"
242,1,"Pound"
242,1,"Growl"
242,4,"Tail Whip"
242,7,"Refresh"
242,10,"Softboiled"
242,13,"DoubleSlap"
242,18,"Minimize"
242,23,"Sing"
242,28,"Egg Bomb"
242,33,"Defense Curl"
242,40,"Light Screen"
242,47,"Double-Edge"
286,1,"Absorb"
286,1,"Tackle"
286,1,"Stun Spore"
286,1,"Leech Seed"
286,4,"Tackle"
286,7,"Stun Spore"
286,10,"Leech Seed"
286,16,"Mega Drain"
286,22,"Headbutt"
286,23,"Mach Punch"
286,28,"Counter"
286,36,"Sky Uppercut"
286,45,"Mind Reader"
286,54,"DynamicPunch"
1,1,"Tackle"
1,4,"Growl"
1,7,"Leech Seed"
1,10,"Vine Whip"
1,15,"PoisonPowder"
1,15,"Sleep Powder"
1,20,"Razor Leaf"
1,25,"Sweet Scent"
1,32,"Growth"
1,39,"Synthesis"
1,46,"SolarBeam"
12,1,"Confusion"
12,10,"Confusion"
12,13,"PoisonPowder"
12,14,"Stun Spore"
12,15,"Sleep Powder"
12,18,"Supersonic"
12,23,"Whirlwind"
12,28,"Gust"
12,34,"Psybeam"
12,40,"Safeguard"
12,47,"Silver Wind"
331,1,"Poison Sting"
331,1,"Leer"
331,5,"Absorb"
331,9,"Growth"
331,13,"Leech Seed"
331,17,"Sand-Attack"
331,21,"Pin Missile"
331,25,"Ingrain"
331,29,"Faint Attack"
331,33,"Spikes"
331,37,"Needle Arm"
331,41,"Cotton Spore"
331,45,"Sandstorm"
332,1,"Poison Sting"
332,1,"Leer"
332,1,"Absorb"
332,1,"Growth"
332,5,"Absorb"
332,9,"Growth"
332,13,"Leech Seed"
332,17,"Sand-Attack"
332,21,"Pin Missile"
332,25,"Ingrain"
332,29,"Faint Attack"
332,35,"Spikes"
332,41,"Needle Arm"
332,47,"Cotton Spore"
332,53,"Sandstorm"
323,1,"Growl"
323,1,"Tackle"
323,1,"Ember"
323,1,"Magnitude"
323,11,"Ember"
323,19,"Magnitude"
323,25,"Focus Energy"
323,29,"Take Down"
323,31,"Amnesia"
323,33,"Rock Slide"
323,37,"Earthquake"
323,45,"Eruption"
323,55,"Fissure"
318,1,"Bite"
318,1,"Leer"
318,7,"Rage"
318,13,"Focus Energy"
318,16,"Scary Face"
318,22,"Crunch"
318,28,"Screech"
318,31,"Take Down"
318,37,"Swagger"
318,43,"Agility"
268,1,"Harden"
268,7,"Harden"
351,1,"Tackle"
351,10,"Water Gun"
351,10,"Ember"
351,10,"Powder Snow"
351,20,"Rain Dance"
351,20,"Sunny Day"
351,20,"Hail"
351,30,"Weather Ball"
10,1,"Tackle"
10,1,"String Shot"
251,1,"Leech Seed"
251,1,"Confusion"
251,1,"Recover"
251,1,"Heal Bell"
251,10,"Safeguard"
251,20,"AncientPower"
251,30,"Future Sight"
251,40,"Baton Pass"
251,50,"Perish Song"
113,1,"Pound"
113,1,"Growl"
113,5,"Tail Whip"
113,9,"Refresh"
113,13,"Softboiled"
113,17,"DoubleSlap"
113,23,"Minimize"
113,29,"Sing"
113,35,"Egg Bomb"
113,41,"Defense Curl"
113,49,"Light Screen"
113,57,"Double-Edge"
6,1,"Scratch"
6,1,"Growl"
6,1,"Ember"
6,7,"Ember"
6,13,"SmokeScreen"
6,27,"Scary Face"
6,34,"Flamethrower"
6,36,"Wing Attack"
6,44,"Slash"
6,54,"Dragon Rage"
6,64,"Fire Spin"
4,1,"Scratch"
4,1,"Growl"
4,7,"Ember"
4,13,"SmokeScreen"
4,25,"Scary Face"
4,31,"Flamethrower"
4,37,"Slash"
4,43,"Dragon Rage"
4,49,"Fire Spin"
5,1,"Scratch"
5,1,"Growl"
5,1,"Ember"
5,7,"Ember"
5,13,"SmokeScreen"
5,27,"Scary Face"
5,34,"Flamethrower"
5,41,"Slash"
5,48,"Dragon Rage"
5,55,"Fire Spin"
152,1,"Tackle"
152,1,"Growl"
152,8,"Razor Leaf"
152,12,"Reflect"
152,15,"PoisonPowder"
152,22,"Synthesis"
152,29,"Body Slam"
152,36,"Light Screen"
152,43,"Safeguard"
152,50,"SolarBeam"
358,1,"Wrap"
358,6,"Growl"
358,9,"Astonish"
358,14,"Confusion"
358,17,"Take Down"
358,22,"Uproar"
358,25,"Yawn"
358,30,"Psywave"
358,33,"Double-Edge"
358,38,"Heal Bell"
358,41,"Safeguard"
358,46,"Psychic"
170,1,"Bubble"
170,1,"Thunder Wave"
170,5,"Supersonic"
170,13,"Flail"
170,17,"Water Gun"
170,25,"Spark"
170,29,"Confuse Ray"
170,37,"Take Down"
170,41,"Hydro Pump"
170,49,"Charge"
366,1,"Clamp"
366,1,"Iron Defense"
366,1,"Water Gun"
366,1,"Whirlpool"
344,1,"Teleport"
344,1,"Confusion"
344,1,"Harden"
344,1,"Rapid Spin"
344,3,"Harden"
344,5,"Rapid Spin"
344,7,"Mud-Slap"
344,11,"Psybeam"
344,15,"Rock Tomb"
344,19,"Selfdestruct"
344,25,"AncientPower"
344,31,"Sandstorm"
344,36,"Hyper Beam"
344,42,"Cosmic Power"
344,55,"Explosion"
36,1,"Sing"
36,1,"DoubleSlap"
36,1,"Minimize"
36,1,"Metronome"
35,1,"Pound"
35,1,"Growl"
35,5,"Encore"
35,9,"Sing"
35,13,"DoubleSlap"
35,17,"Follow Me"
35,21,"Minimize"
35,25,"Defense Curl"
35,29,"Metronome"
35,33,"Cosmic Power"
35,37,"Moonlight"
35,41,"Light Screen"
35,45,"Meteor Mash"
173,1,"Pound"
173,1,"Charm"
173,4,"Encore"
173,8,"Sing"
173,13,"Sweet Kiss"
91,1,"Withdraw"
91,1,"Supersonic"
91,1,"Aurora Beam"
91,1,"Protect"
91,33,"Spikes"
91,41,"Spike Cannon"
256,1,"Scratch"
256,1,"Growl"
256,1,"Focus Energy"
256,1,"Ember"
256,7,"Focus Energy"
256,13,"Ember"
256,16,"Double Kick"
256,17,"Peck"
256,21,"Sand-Attack"
256,28,"Bulk Up"
256,32,"Quick Attack"
256,39,"Slash"
256,43,"Mirror Move"
256,50,"Sky Uppercut"
341,1,"Bubble"
341,7,"Harden"
341,10,"ViceGrip"
341,13,"Leer"
341,20,"BubbleBeam"
341,23,"Protect"
341,26,"Knock Off"
341,32,"Taunt"
341,35,"Crabhammer"
341,38,"Swords Dance"
341,44,"Guillotine"
222,1,"Tackle"
222,6,"Harden"
222,12,"Bubble"
222,17,"Recover"
222,17,"Refresh"
222,23,"BubbleBeam"
222,28,"Spike Cannon"
222,34,"Rock Blast"
222,39,"Mirror Coat"
222,45,"AncientPower"
346,1,"Astonish"
346,1,"Constrict"
346,1,"Acid"
346,1,"Ingrain"
346,8,"Constrict"
346,15,"Acid"
346,22,"Ingrain"
346,29,"Confuse Ray"
346,36,"Amnesia"
346,48,"AncientPower"
346,60,"Stockpile"
346,60,"Swallow"
346,60,"Spit Up"
342,1,"Bubble"
342,1,"Harden"
342,1,"ViceGrip"
342,1,"Leer"
342,7,"Harden"
342,10,"ViceGrip"
342,13,"Leer"
342,20,"BubbleBeam"
342,23,"Protect"
342,26,"Knock Off"
342,34,"Taunt"
342,39,"Crabhammer"
342,44,"Swords Dance"
342,52,"Guillotine"
169,1,"Screech"
169,1,"Leech Life"
169,1,"Supersonic"
169,1,"Astonish"
169,6,"Supersonic"
169,11,"Astonish"
169,16,"Bite"
169,21,"Wing Attack"
169,28,"Confuse Ray"
169,35,"Air Cutter"
169,42,"Mean Look"
169,49,"Poison Fang"
169,56,"Haze"
159,1,"Scratch"
159,1,"Leer"
159,1,"Rage"
159,7,"Rage"
159,13,"Water Gun"
159,21,"Bite"
159,28,"Scary Face"
159,37,"Slash"
159,45,"Screech"
159,55,"Hydro Pump"
104,1,"Growl"
104,5,"Tail Whip"
104,9,"Bone Club"
104,13,"Headbutt"
104,17,"Leer"
104,21,"Focus Energy"
104,25,"Bonemerang"
104,29,"Rage"
104,33,"False Swipe"
104,37,"Thrash"
104,41,"Bone Rush"
104,45,"Double-Edge"
155,1,"Tackle"
155,1,"Leer"
155,6,"SmokeScreen"
155,12,"Ember"
155,19,"Quick Attack"
155,27,"Flame Wheel"
155,36,"Swift"
155,46,"Flamethrower"
301,1,"Growl"
301,1,"Attract"
301,1,"Sing"
301,1,"DoubleSlap"
225,1,"Present"
386,1,"Leer"
386,1,"Wrap"
386,5,"Night Shade"
386,10,"Teleport"
386,15,"Knock Off"
386,20,"Pursuit"
386,25,"Psychic"
386,30,"Snatch"
386,35,"Cosmic Power"
386,40,"Recover"
386,45,"Psycho Boost"
386,50,"Hyper Beam"
386,1,"Leer"
386,1,"Wrap"
386,5,"Night Shade"
386,10,"Teleport"
386,15,"Taunt"
386,20,"Pursuit"
386,25,"Psychic"
386,30,"Superpower"
386,35,"Cosmic Power"
386,40,"Zap Cannon"
386,45,"Psycho Boost"
386,50,"Hyper Beam"
386,1,"Leer"
386,1,"Wrap"
386,5,"Night Shade"
386,10,"Teleport"
386,15,"Knock Off"
386,20,"Spikes"
386,25,"Psychic"
386,30,"Snatch"
386,35,"Iron Defense"
386,35,"Amnesia"
386,40,"Recover"
386,45,"Psycho Boost"
386,50,"Counter"
386,50,"Mirror Coat"
386,1,"Leer"
386,1,"Wrap"
386,5,"Night Shade"
386,10,"Double Team"
386,15,"Knock Off"
386,20,"Pursuit"
386,25,"Psychic"
386,30,"Swift"
386,35,"Agility"
386,40,"Recover"
386,45,"Psycho Boost"
386,50,"ExtremeSpeed"
87,1,"Headbutt"
87,1,"Growl"
87,1,"Icy Wind"
87,1,"Aurora Beam"
87,9,"Growl"
87,17,"Icy Wind"
87,21,"Aurora Beam"
87,29,"Rest"
87,34,"Sheer Cold"
87,42,"Take Down"
87,51,"Ice Beam"
87,64,"Safeguard"
50,1,"Scratch"
50,1,"Sand-Attack"
50,5,"Growl"
50,9,"Magnitude"
50,17,"Dig"
50,25,"Mud-Slap"
50,33,"Slash"
50,41,"Earthquake"
50,49,"Fissure"
132,1,"Transform"
85,1,"Peck"
85,1,"Growl"
85,1,"Pursuit"
85,1,"Fury Attack"
85,9,"Pursuit"
85,13,"Fury Attack"
85,21,"Tri Attack"
85,25,"Rage"
85,38,"Uproar"
85,47,"Drill Peck"
85,60,"Agility"
84,1,"Peck"
84,1,"Growl"
84,9,"Pursuit"
84,13,"Fury Attack"
84,21,"Tri Attack"
84,25,"Rage"
84,33,"Uproar"
84,37,"Drill Peck"
84,45,"Agility"
232,1,"Odor Sleuth"
232,1,"Horn Attack"
232,1,"Growl"
232,9,"Defense Curl"
232,17,"Flail"
232,25,"Fury Attack"
232,33,"Rollout"
232,41,"Rapid Spin"
232,49,"Earthquake"
148,1,"Wrap"
148,1,"Leer"
148,1,"Thunder Wave"
148,1,"Twister"
148,8,"Thunder Wave"
148,15,"Twister"
148,22,"Dragon Rage"
148,29,"Slam"
148,38,"Agility"
148,47,"Safeguard"
148,56,"Outrage"
148,65,"Hyper Beam"
149,1,"Wrap"
149,1,"Leer"
149,1,"Thunder Wave"
149,1,"Twister"
149,8,"Thunder Wave"
149,15,"Twister"
149,22,"Dragon Rage"
149,29,"Slam"
149,38,"Agility"
149,47,"Safeguard"
149,55,"Wing Attack"
149,61,"Outrage"
149,75,"Hyper Beam"
147,1,"Wrap"
147,1,"Leer"
147,8,"Thunder Wave"
147,15,"Twister"
147,22,"Dragon Rage"
147,29,"Slam"
147,36,"Agility"
147,43,"Safeguard"
147,50,"Outrage"
147,57,"Hyper Beam"
96,1,"Pound"
96,1,"Hypnosis"
96,10,"Disable"
96,18,"Confusion"
96,25,"Headbutt"
96,31,"Poison Gas"
96,36,"Meditate"
96,40,"Psychic"
96,43,"Psych Up"
96,45,"Future Sight"
51,1,"Tri Attack"
51,1,"Scratch"
51,1,"Sand-Attack"
51,1,"Growl"
51,5,"Growl"
51,9,"Magnitude"
51,17,"Dig"
51,25,"Mud-Slap"
51,26,"Sand Tomb"
51,38,"Slash"
51,51,"Earthquake"
51,64,"Fissure"
206,1,"Rage"
206,4,"Defense Curl"
206,11,"Yawn"
206,14,"Glare"
206,21,"Spite"
206,24,"Pursuit"
206,31,"Screech"
206,34,"Take Down"
206,41,"Endeavor"
356,1,"Bind"
356,1,"Leer"
356,1,"Night Shade"
356,1,"Disable"
356,5,"Disable"
356,12,"Foresight"
356,16,"Astonish"
356,23,"Confuse Ray"
356,27,"Pursuit"
356,34,"Curse"
356,37,"Shadow Punch"
356,41,"Will-O-Wisp"
356,51,"Mean Look"
356,58,"Future Sight"
355,1,"Leer"
355,1,"Night Shade"
355,5,"Disable"
355,12,"Foresight"
355,16,"Astonish"
355,23,"Confuse Ray"
355,27,"Pursuit"
355,34,"Curse"
355,38,"Will-O-Wisp"
355,45,"Mean Look"
355,49,"Future Sight"
269,1,"Confusion"
269,10,"Confusion"
269,13,"Gust"
269,17,"Protect"
269,20,"Moonlight"
269,24,"Psybeam"
269,27,"Whirlwind"
269,31,"Light Screen"
269,34,"Silver Wind"
269,38,"Toxic"
133,1,"Tackle"
133,1,"Tail Whip"
133,1,"Helping Hand"
133,8,"Sand-Attack"
133,16,"Growl"
133,23,"Quick Attack"
133,30,"Bite"
133,36,"Baton Pass"
133,42,"Take Down"
23,1,"Wrap"
23,1,"Leer"
23,8,"Poison Sting"
23,13,"Bite"
23,20,"Glare"
23,25,"Screech"
23,32,"Acid"
23,37,"Stockpile"
23,37,"Swallow"
23,37,"Spit Up"
23,44,"Haze"
125,1,"Quick Attack"
125,1,"Leer"
125,1,"ThunderPunch"
125,9,"ThunderPunch"
125,17,"Light Screen"
125,25,"Swift"
125,36,"Screech"
125,47,"Thunderbolt"
125,58,"Thunder"
309,1,"Tackle"
309,4,"Thunder Wave"
309,9,"Leer"
309,12,"Howl"
309,17,"Quick Attack"
309,20,"Spark"
309,25,"Odor Sleuth"
309,28,"Roar"
309,33,"Bite"
309,36,"Thunder"
309,41,"Charge"
101,1,"Charge"
101,1,"Tackle"
101,1,"Screech"
101,1,"SonicBoom"
101,8,"Screech"
101,15,"SonicBoom"
101,21,"Spark"
101,27,"Selfdestruct"
101,34,"Rollout"
101,41,"Light Screen"
101,48,"Swift"
101,54,"Explosion"
101,59,"Mirror Coat"
239,1,"Quick Attack"
239,1,"Leer"
239,9,"ThunderPunch"
239,17,"Light Screen"
239,25,"Swift"
239,33,"Screech"
239,41,"Thunderbolt"
239,49,"Thunder"
244,1,"Bite"
244,1,"Leer"
244,11,"Ember"
244,21,"Roar"
244,31,"Fire Spin"
244,41,"Stomp"
244,51,"Flamethrower"
244,61,"Swagger"
244,71,"Fire Blast"
244,81,"Calm Mind"
196,1,"Tackle"
196,1,"Tail Whip"
196,1,"Helping Hand"
196,8,"Sand-Attack"
196,16,"Confusion"
196,23,"Quick Attack"
196,30,"Swift"
196,36,"Psybeam"
196,42,"Psych Up"
196,47,"Psychic"
196,52,"Morning Sun"
102,1,"Uproar"
102,1,"Barrage"
102,1,"Hypnosis"
102,7,"Reflect"
102,13,"Leech Seed"
102,19,"Confusion"
102,25,"Stun Spore"
102,31,"PoisonPowder"
102,37,"Sleep Powder"
102,43,"SolarBeam"
103,1,"Confusion"
103,1,"Barrage"
103,1,"Hypnosis"
103,19,"Stomp"
103,31,"Egg Bomb"
295,1,"Pound"
295,1,"Uproar"
295,1,"Astonish"
295,1,"Howl"
295,5,"Uproar"
295,11,"Astonish"
295,15,"Howl"
295,23,"Supersonic"
295,29,"Stomp"
295,37,"Screech"
295,40,"Hyper Beam"
295,45,"Roar"
295,55,"Rest"
295,55,"Sleep Talk"
295,63,"Hyper Voice"
83,1,"Peck"
83,6,"Sand-Attack"
83,11,"Leer"
83,16,"Fury Attack"
83,21,"Knock Off"
83,26,"Fury Cutter"
83,31,"Swords Dance"
83,36,"Agility"
83,41,"Slash"
83,46,"False Swipe"
22,1,"Peck"
22,1,"Growl"
22,1,"Leer"
22,1,"Fury Attack"
22,7,"Leer"
22,13,"Fury Attack"
22,26,"Pursuit"
22,32,"Mirror Move"
22,40,"Drill Peck"
22,47,"Agility"
349,1,"Splash"
349,15,"Tackle"
349,30,"Flail"
160,1,"Scratch"
160,1,"Leer"
160,1,"Rage"
160,1,"Water Gun"
160,7,"Rage"
160,13,"Water Gun"
160,21,"Bite"
160,28,"Scary Face"
160,38,"Slash"
160,47,"Screech"
160,58,"Hydro Pump"
180,1,"Tackle"
180,1,"Growl"
180,1,"ThunderShock"
180,9,"ThunderShock"
180,18,"Thunder Wave"
180,27,"Cotton Spore"
180,36,"Light Screen"
180,45,"Thunder"
136,1,"Tackle"
136,1,"Tail Whip"
136,1,"Helping Hand"
136,8,"Sand-Attack"
136,16,"Ember"
136,23,"Quick Attack"
136,30,"Bite"
136,36,"Fire Spin"
136,42,"Smog"
136,47,"Leer"
136,52,"Flamethrower"
330,1,"Bite"
330,1,"Sand-Attack"
330,1,"Faint Attack"
330,1,"Sand Tomb"
330,9,"Sand-Attack"
330,17,"Faint Attack"
330,25,"Sand Tomb"
330,33,"Crunch"
330,35,"DragonBreath"
330,41,"Screech"
330,53,"Sandstorm"
330,65,"Hyper Beam"
205,1,"Tackle"
205,1,"Protect"
205,1,"Selfdestruct"
205,8,"Selfdestruct"
205,15,"Take Down"
205,22,"Rapid Spin"
205,29,"Bide"
205,39,"Explosion"
205,49,"Spikes"
205,59,"Double-Edge"
162,1,"Scratch"
162,1,"Defense Curl"
162,1,"Quick Attack"
162,4,"Defense Curl"
162,7,"Quick Attack"
162,12,"Fury Swipes"
162,19,"Helping Hand"
162,28,"Slam"
162,37,"Follow Me"
162,48,"Rest"
162,59,"Amnesia"
282,1,"Growl"
282,1,"Confusion"
282,1,"Double Team"
282,1,"Teleport"
282,6,"Confusion"
282,11,"Double Team"
282,16,"Teleport"
282,21,"Calm Mind"
282,26,"Psychic"
282,33,"Imprison"
282,42,"Future Sight"
282,51,"Hypnosis"
282,60,"Dream Eater"
92,1,"Hypnosis"
92,1,"Lick"
92,8,"Spite"
92,13,"Mean Look"
92,16,"Curse"
92,21,"Night Shade"
92,28,"Confuse Ray"
92,33,"Dream Eater"
92,36,"Destiny Bond"
94,1,"Hypnosis"
94,1,"Lick"
94,1,"Spite"
94,8,"Spite"
94,13,"Mean Look"
94,16,"Curse"
94,21,"Night Shade"
94,25,"Shadow Punch"
94,31,"Confuse Ray"
94,39,"Dream Eater"
94,48,"Destiny Bond"
74,1,"Tackle"
74,1,"Defense Curl"
74,6,"Mud Sport"
74,11,"Rock Throw"
74,16,"Magnitude"
74,21,"Selfdestruct"
74,26,"Rollout"
74,31,"Rock Blast"
74,36,"Earthquake"
74,41,"Explosion"
74,46,"Double-Edge"
203,1,"Tackle"
203,1,"Growl"
203,7,"Astonish"
203,13,"Confusion"
203,19,"Stomp"
203,25,"Odor Sleuth"
203,31,"Agility"
203,37,"Baton Pass"
203,43,"Psybeam"
203,49,"Crunch"
362,1,"Powder Snow"
362,1,"Leer"
362,1,"Double Team"
362,1,"Bite"
362,7,"Double Team"
362,10,"Bite"
362,16,"Icy Wind"
362,19,"Headbutt"
362,25,"Protect"
362,28,"Crunch"
362,34,"Ice Beam"
362,42,"Hail"
362,53,"Blizzard"
362,61,"Sheer Cold"
207,1,"Poison Sting"
207,6,"Sand-Attack"
207,13,"Harden"
207,20,"Quick Attack"
207,28,"Faint Attack"
207,36,"Slash"
207,44,"Screech"
207,52,"Guillotine"
44,1,"Absorb"
44,1,"Sweet Scent"
44,1,"PoisonPowder"
44,7,"Sweet Scent"
44,14,"PoisonPowder"
44,16,"Stun Spore"
44,18,"Sleep Powder"
44,24,"Acid"
44,35,"Moonlight"
44,44,"Petal Dance"
42,1,"Screech"
42,1,"Leech Life"
42,1,"Supersonic"
42,1,"Astonish"
42,6,"Supersonic"
42,11,"Astonish"
42,16,"Bite"
42,21,"Wing Attack"
42,28,"Confuse Ray"
42,35,"Air Cutter"
42,42,"Mean Look"
42,49,"Poison Fang"
42,56,"Haze"
118,1,"Peck"
118,1,"Tail Whip"
118,1,"Water Sport"
118,10,"Supersonic"
118,15,"Horn Attack"
118,24,"Flail"
118,29,"Fury Attack"
118,38,"Waterfall"
118,43,"Horn Drill"
118,52,"Agility"
55,1,"Scratch"
55,1,"Water Sport"
55,1,"Tail Whip"
55,1,"Disable"
55,5,"Tail Whip"
55,10,"Disable"
55,16,"Confusion"
55,23,"Screech"
55,31,"Psych Up"
55,44,"Fury Swipes"
55,58,"Hydro Pump"
76,1,"Tackle"
76,1,"Defense Curl"
76,1,"Mud Sport"
76,1,"Rock Throw"
76,6,"Mud Sport"
76,11,"Rock Throw"
76,16,"Magnitude"
76,21,"Selfdestruct"
76,29,"Rollout"
76,37,"Rock Blast"
76,45,"Earthquake"
76,53,"Explosion"
76,62,"Double-Edge"
368,1,"Whirlpool"
368,8,"Confusion"
