NDex#,name,HP,Atk,Def,SpA,SpD,Spe,height,weight
111,"Rhyhorn",80,85,95,30,30,25,1,115
112,"Rhydon",105,130,120,45,45,40,1.9,120
113,"Chansey",250,5,5,35,105,50,1.1,34.6
114,"Tangela",65,55,115,100,40,60,1,35
115,"Kangaskhan",105,95,80,40,80,90,2.2,80
116,"Horsea",30,40,70,70,25,60,0.4,8
117,"Seadra",55,65,95,95,45,85,1.2,25
118,"Goldeen",45,67,60,35,50,63,0.6,15
119,"Seaking",80,92,65,65,80,68,1.3,39
120,"Staryu",30,45,55,70,55,85,0.8,34.5
121,"Starmie",60,75,85,100,85,115,1.1,80
122,"Mr. Mime",40,45,65,100,120,90,1.3,54.5
123,"Scyther",70,110,80,55,80,105,1.5,56
124,"Jynx",65,50,35,115,95,95,1.4,40.6
125,"Electabuzz",65,83,57,95,85,105,1.1,30
126,"Magmar",65,95,57,100,85,93,1.3,44.5
127,"Pinsir",65,125,100,55,70,85,1.5,55
128,"Tauros",75,100,95,40,70,110,1.4,88.4
129,"Magikarp",20,10,55,15,20,80,0.9,10
130,"Gyarados",95,125,79,60,100,81,6.5,235
131,"Lapras",130,85,80,85,95,60,2.5,220
132,"Ditto",48,48,48,48,48,48,0.3,4
133,"Eevee",55,55,50,45,65,55,0.3,6.5
134,"Vaporeon",130,65,60,110,95,65,1,29
135,"Jolteon",65,65,60,110,95,130,0.8,24.5
136,"Flareon",65,130,60,95,110,65,0.9,25
137,"Porygon",65,60,70,85,75,40,0.8,36.5
138,"Omanyte",35,40,100,90,55,35,0.4,7.5
139,"Omastar",70,60,125,115,70,55,1,35
140,"Kabuto",30,80,90,55,45,55,0.5,11.5
141,"Kabutops",60,115,105,65,70,80,1.3,40.5
142,"Aerodactyl",80,105,65,60,75,130,1.8,59
143,"Snorlax",160,110,65,65,110,30,2.1,460
144,"Articuno",90,85,100,95,125,85,1.7,55.4
145,"Zapdos",90,90,85,125,90,100,1.6,52.6
146,"Moltres",90,100,90,125,85,90,2,60
147,"Dratini",41,64,45,50,50,50,1.8,3.3
148,"Dragonair",61,84,65,70,70,70,4,16.5
149,"Dragonite",91,134,95,100,100,80,2.2,210
150,"Mewtwo",106,110,90,154,90,130,2,122
151,"Mew",100,100,100,100,100,100,0.4,4
152,"Chikorita",45,49,65,49,65,45,0.9,6.4
153,"Bayleef",60,62,80,63,80,60,1.2,15.8
154,"Meganium",80,82,100,83,100,80,1.8,100.5
155,"Cyndaquil",39,52,43,60,50,65,0.5,7.9
156,"Quilava",58,64,58,80,65,80,0.9,19
157,"Typhlosion",78,84,78,109,85,100,1.7,79.5
158,"Totodile",50,65,64,44,48,43,0.6,9.5
159,"Croconaw",65,80,80,59,63,58,1.1,25
160,"Feraligatr",85,105,100,79,83,78,2.3,88.8
161,"Sentret",35,46,34,35,45,20,0.8,6
162,"Furret",85,76,64,45,55,90,1.8,32.5
163,"Hoothoot",60,30,30,36,56,50,0.7,21.2
164,"Noctowl",100,50,50,86,96,70,1.6,40.8
165,"Ledyba",40,20,30,40,80,55,1,10.8
166,"Ledian",55,35,50,55,110,85,1.4,35.6
167,"Spinarak",40,60,40,40,40,30,0.5,8.5
168,"Ariados",70,90,70,60,70,40,1.1,33.5
169,"Crobat",85,90,80,70,80,130,1.8,75
170,"Chinchou",75,38,38,56,56,67,0.5,12
171,"Lanturn",125,58,58,76,76,67,1.2,22.5
172,"Pichu",20,40,15,35,35,60,0.3,2
173,"Cleffa",50,25,28,45,55,15,0.3,3
174,"Igglybuff",90,30,15,40,20,15,0.3,1
175,"Togepi",35,20,65,40,65,20,0.3,1.5
176,"Togetic",55,40,85,80,105,40,0.6,3.2
177,"Natu",40,50,45,70,45,70,0.2,2
178,"Xatu",65,75,70,95,70,95,1.5,15
179,"Mareep",55,40,40,65,45,35,0.6,7.8
180,"Flaaffy",70,55,55,80,60,45,0.8,13.3
181,"Ampharos",90,75,85,115,90,55,1.4,61.5
182,"Bellossom",75,80,95,90,100,50,0.4,5.8
183,"Marill",70,20,50,20,50,40,0.4,8.5
184,"Azumarill",100,50,80,60,80,50,0.8,28.5
185,"Sudowoodo",70,100,115,30,65,30,1.2,38
186,"Politoed",90,75,75,90,100,70,1.1,33.9
187,"Hoppip",35,35,40,35,55,50,0.4,0.5
188,"Skiploom",55,45,50,45,65,80,0.6,1
189,"Jumpluff",75,55,70,55,95,110,0.8,3
190,"Aipom",55,70,55,40,55,85,0.8,11.5
191,"Sunkern",30,30,30,30,30,30,0.3,1.8
192,"Sunflora",75,75,55,105,85,30,0.8,8.5
193,"Yanma",65,65,45,75,45,95,1.2,38
194,"Wooper",55,45,45,25,25,15,0.4,8.5
195,"Quagsire",95,85,85,65,65,35,1.4,75
196,"Espeon",65,65,60,130,95,110,0.9,26.5
197,"Umbreon",95,65,110,60,130,65,1,27
198,"Murkrow",60,85,42,85,42,91,0.5,2.1
199,"Slowking",95,75,80,100,110,30,2,79.5
200,"Misdreavus",60,60,60,85,85,85,0.7,1
201,"Unown",48,72,48,72,48,48,0.5,5
202,"Wobbuffet",190,33,58,33,58,33,1.3,28.5
203,"Girafarig",70,80,65,90,65,85,1.5,41.5
204,"Pineco",50,65,90,35,35,15,0.6,7.2
205,"Forretress",75,90,140,60,60,40,1.2,125.8
206,"Dunsparce",100,70,70,65,65,45,1.5,14
207,"Gligar",65,75,105,35,65,85,1.1,64.8
208,"Steelix",75,85,200,55,65,30,9.2,400
209,"Snubbull",60,80,50,40,40,30,0.6,7.8
210,"Granbull",90,120,75,60,60,45,1.4,48.7
211,"Qwilfish",65,95,85,55,55,85,0.5,3.9
212,"Scizor",70,130,100,55,80,65,1.8,118
213,"Shuckle",20,10,230,10,230,5,0.6,20.5
214,"Heracross",80,125,75,40,95,85,1.5,54
215,"Sneasel",55,95,55,35,75,115,0.9,28
216,"Teddiursa",60,80,50,50,50,40,0.6,8.8
217,"Ursaring",90,130,75,75,75,55,1.8,125.8
218,"Slugma",40,40,40,70,40,20,0.7,35
219,"Magcargo",60,50,120,90,80,30,0.8,55
220,"Swinub",50,50,40,30,30,50,0.4,6.5
221,"Piloswine",100,100,80,60,60,50,1.1,55.8
222,"Corsola",65,55,95,65,95,35,0.6,5
223,"Remoraid",35,65,35,65,35,65,0.6,12
224,"Octillery",75,105,75,105,75,45,0.9,28.5
225,"Delibird",45,55,45,65,45,75,0.9,16
226,"Mantine",85,40,70,80,140,70,2.1,220
227,"Skarmory",65,80,140,40,70,70,1.7,50.5
228,"Houndour",45,60,30,80,50,65,0.6,10.8
229,"Houndoom",75,90,50,110,80,95,1.4,35
230,"Kingdra",75,95,95,95,95,85,1.8,152
231,"Phanpy",90,60,60,40,40,40,0.5,33.5
232,"Donphan",90,120,120,60,60,50,1.1,120
233,"Porygon2",85,80,90,105,95,60,0.6,32.5
234,"Stantler",73,95,62,85,65,85,1.4,71.2
235,"Smeargle",55,20,35,20,45,75,1.2,58
236,"Tyrogue",35,35,35,35,35,35,0.7,21
237,"Hitmontop",50,95,95,35,110,70,1.4,48
238,"Smoochum",45,30,15,85,65,65,0.4,6
239,"Elekid",45,63,37,65,55,95,0.6,23.5
240,"Magby",45,75,37,70,55,83,0.7,21.4
241,"Miltank",95,80,105,40,70,100,1.2,75.5
242,"Blissey",255,10,10,75,135,55,1.5,46.8
243,"Raikou",90,85,75,115,100,115,1.9,178
244,"Entei",115,115,85,90,75,100,2.1,198
245,"Suicune",100,75,115,90,115,85,2,187
246,"Larvitar",50,64,50,45,50,41,0.6,72
247,"Pupitar",70,84,70,65,70,51,1.2,152
248,"Tyranitar",100,134,110,95,100,61,2,202
249,"Lugia",106,90,130,90,154,110,5.2,216
250,"Ho-Oh",106,130,90,110,154,90,3.8,199
251,"Celebi",100,100,100,100,100,100,0.6,5
252,"Treecko",40,45,35,65,55,70,0.5,5
253,"Grovyle",50,65,45,85,65,95,0.9,21.6
254,"Sceptile",70,85,65,105,85,120,1.7,52.2
255,"Torchic",45,60,40,70,50,45,0.4,2.5
256,"Combusken",60,85,60,85,60,55,0.9,19.5
257,"Blaziken",80,120,70,110,70,80,1.9,52
258,"Mudkip",50,70,50,50,50,40,0.4,7.6
259,"Marshtomp",70,85,70,60,70,50,0.7,28
260,"Swampert",100,110,90,85,90,60,1.5,81.9
261,"Poochyena",35,55,35,30,30,35,0.5,13.6
262,"Mightyena",70,90,70,60,60,70,1,37
263,"Zigzagoon",38,30,41,30,41,60,0.4,17.5
264,"Linoone",78,70,61,50,61,100,0.5,32.5
265,"Wurmple",45,45,35,20,30,20,0.3,3.6
266,"Silcoon",50,35,55,25,25,15,0.6,10
267,"Beautifly",60,70,50,100,50,65,1,28.4
268,"Cascoon",50,35,55,25,25,15,0.7,11.5
269,"Dustox",60,50,70,50,90,65,1.2,31.6
270,"Lotad",40,30,30,40,50,30,0.5,2.6
271,"Lombre",60,50,50,60,70,50,1.2,32.5
272,"Ludicolo",80,70,70,90,100,70,1.5,55
273,"Seedot",40,40,50,30,30,30,0.5,4
274,"Nuzleaf",70,70,40,60,40,60,1,28
275,"Shiftry",90,100,60,90,60,80,1.3,59.6
276,"Taillow",40,55,30,30,30,85,0.3,2.3
277,"Swellow",60,85,60,75,50,125,0.7,19.8
278,"Wingull",40,30,30,55,30,85,0.6,9.5
279,"Pelipper",60,50,100,95,70,65,1.2,28
280,"Ralts",28,25,25,45,35,40,0.4,6.6
281,"Kirlia",38,35,35,65,55,50,0.8,20.2
282,"Gardevoir",68,65,65,125,115,80,1.6,48.4
283,"Surskit",40,30,32,50,52,65,0.5,1.7
284,"Masquerain",70,60,62,100,82,80,0.8,3.6
285,"Shroomish",60,40,60,40,60,35,0.4,4.5
286,"Breloom",60,130,80,60,60,70,1.2,39.2
287,"Slakoth",60,60,60,35,35,30,0.8,24
288,"Vigoroth",80,80,80,55,55,90,1.4,46.5
289,"Slaking",150,160,100,95,65,100,2,130.5
290,"Nincada",31,45,90,30,30,40,0.5,5.5
291,"Ninjask",61,90,45,50,50,160,0.8,12
292,"Shedinja",1,90,45,30,30,40,0.8,1.2
293,"Whismur",64,51,23,51,23,28,0.6,16.3
294,"Loudred",84,71,43,71,43,48,1,40.5
295,"Exploud",104,91,63,91,73,68,1.5,84
296,"Makuhita",72,60,30,20,30,25,1,86.4
297,"Hariyama",144,120,60,40,60,50,2.3,253.8
298,"Azurill",50,20,40,20,40,20,0.2,2
299,"Nosepass",30,45,135,45,90,30,1,97
300,"Skitty",50,45,45,35,35,50,0.6,11
301,"Delcatty",70,65,65,55,55,90,1.1,32.6
302,"Sableye",50,75,75,65,65,50,0.5,11
303,"Mawile",50,85,85,55,55,50,0.6,11.5
304,"Aron",50,70,100,40,40,30,0.4,60
305,"Lairon",60,90,140,50,50,40,0.9,120
306,"Aggron",70,110,180,60,60,50,2.1,360
307,"Meditite",30,40,55,40,55,60,0.6,11.2
308,"Medicham",60,60,75,60,75,80,1.3,31.5
309,"Electrike",40,45,40,65,40,65,0.6,15.2
310,"Manectric",70,75,60,105,60,105,1.5,40.2
311,"Plusle",60,50,40,85,75,95,0.4,4.2
312,"Minun",60,40,50,75,85,95,0.4,4.2
313,"Volbeat",65,73,75,47,85,85,0.7,17.7
314,"Illumise",65,47,75,73,85,85,0.6,17.7
315,"Roselia",50,60,45,100,80,65,0.3,2
316,"Gulpin",70,43,53,43,53,40,0.4,10.3
317,"Swalot",100,73,83,73,83,55,1.7,80
318,"Carvanha",45,90,20,65,20,65,0.8,20.8
319,"Sharpedo",70,120,40,95,40,95,1.8,88.8
320,"Wailmer",130,70,35,70,35,60,2,130
321,"Wailord",170,90,45,90,45,60,14.5,398
322,"Numel",60,60,40,65,45,35,0.7,24
323,"Camerupt",70,100,70,105,75,40,1.9,220
324,"Torkoal",70,85,140,85,70,20,0.5,80.4
325,"Spoink",60,25,35,70,80,60,0.7,30.6
326,"Grumpig",80,45,65,90,110,80,0.9,71.5
327,"Spinda",60,60,60,60,60,60,1.1,5
328,"Trapinch",45,100,45,45,45,10,0.7,15
329,"Vibrava",50,70,50,50,50,70,1.1,15.3
330,"Flygon",80,100,80,80,80,100,2,82
331,"Cacnea",50,85,40,85,40,35,0.4,51.3
332,"Cacturne",70,115,60,115,60,55,1.3,77.4
333,"Swablu",45,40,60,40,75,50,0.4,1.2
334,"Altaria",75,70,90,70,105,80,1.1,20.6
335,"Zangoose",73,115,60,60,60,90,1.3,40.3
336,"Seviper",73,100,60,100,60,65,2.7,52.5
337,"Lunatone",90,55,65,95,85,70,1,168
338,"Solrock",90,95,85,55,65,70,1.2,154
339,"Barboach",50,48,43,46,41,60,0.4,1.9
340,"Whiscash",110,78,73,76,71,60,0.9,23.6
341,"Corphish",43,80,65,50,35,35,0.6,11.5
342,"Crawdaunt",63,120,85,90,55,55,1.1,32.8
343,"Baltoy",40,40,55,40,70,55,0.5,21.5
344,"Claydol",60,70,105,70,120,75,1.5,108
345,"Lileep",66,41,77,61,87,23,1,23.8
346,"Cradily",86,81,97,81,107,43,1.5,60.4
347,"Anorith",45,95,50,40,50,75,0.7,12.5
348,"Armaldo",75,125,100,70,80,45,1.5,68.2
349,"Feebas",20,15,20,10,55,80,0.6,7.4
350,"Milotic",95,60,79,100,125,81,6.2,162
351,"Castform",70,70,70,70,70,70,0.3,0.8
352,"Kecleon",60,90,70,60,120,40,1,22
353,"Shuppet",44,75,35,63,33,45,0.6,2.3
354,"Banette",64,115,65,83,63,65,1.1,12.5
355,"Duskull",20,40,90,30,90,25,0.8,15
356,"Dusclops",40,70,130,60,130,25,1.6,30.6
357,"Tropius",99,68,83,72,87,51,2,100
358,"Chimecho",75,50,80,95,90,65,0.6,1
359,"Absol",65,130,60,75,60,75,1.2,47
360,"Wynaut",95,23,48,23,48,23,0.6,14
361,"Snorunt",50,50,50,50,50,50,0.7,16.8
362,"Glalie",80,80,80,80,80,80,1.5,256.5
363,"Spheal",70,40,50,55,50,25,0.8,39.5
364,"Sealeo",90,60,70,75,70,45,1.1,87.6
365,"Walrein",110,80,90,95,90,65,1.4,150.6
366,"Clamperl",35,64,85,74,55,32,0.4,52.5
367,"Huntail",55,104,105,94,75,52,1.7,27
368,"Gorebyss",55,84,105,114,75,52,1.8,22.6
369,"Relicanth",100,90,130,45,65,55,1,23.4
370,"Luvdisc",43,30,55,40,65,97,0.6,8.7
371,"Bagon",45,75,60,40,30,50,0.6,42.1
372,"Shelgon",65,95,100,60,50,50,1.1,110.5
373,"Salamence",95,135,80,110,80,100,1.5,102.6
374,"Beldum",40,55,80,35,60,30,0.6,95.2
375,"Metang",60,75,100,55,80,50,1.2,202.5
376,"Metagross",80,135,130,95,90,70,1.6,550
377,"Regirock",80,100,200,50,100,50,1.7,230
378,"Regice",80,50,100,100,200,50,1.8,175
379,"Registeel",80,75,150,75,150,50,1.9,205
380,"Latias",80,80,90,110,130,110,1.4,40
381,"Latios",80,90,80,130,110,110,2,60
382,"Kyogre",100,100,90,150,140,90,4.5,352
383,"Groudon",100,150,140,100,90,90,3.5,950
384,"Rayquaza",105,150,90,150,90,95,7,206.5
385,"Jirachi",100,100,100,100,100,100,0.3,1.1
386,"Deoxys",50,150,50,150,50,150,1.7,60.8
